DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",33,Repair and installation of machinery and equipment,207,1440,45,1695
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",33,Repair and installation of machinery and equipment,247,3220,50,3475
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1348,3785,160,4040
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1259,3930,170,4030
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1414,4500,195,4450
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1335,4220,200,4220
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1578,4345,195,4370
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",1503,4570,355,5260
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",918,4845,175,4870
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",D (35),"Electricity, gas, steam and air conditioning supply",986,6895,300,6970
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,402,3605,310,4110
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,392,3120,360,3375
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,410,4905,685,5955
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,404,3850,270,4200
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,410,3645,385,3955
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,417,3485,350,3745
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,501,4270,190,4630
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",E (36-39),Water supply; sewerage and waste management,541,3860,310,4435
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,649,6100,2400,9200
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,725,8250,575,9250
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,825,7750,1375,9250
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,825,6800,480,7550
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,929,7250,700,9750
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,663,7500,1900,10250
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,738,8800,1850,12000
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",41,Construction of buildings,840,9500,1275,11000
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,448,2585,140,2945
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,392,3715,395,4240
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,412,3655,345,4805
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,496,4210,350,4735
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,492,2245,400,2865
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,453,3515,500,4250
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,445,3335,645,4140
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",42,Civil engineering,570,3280,320,3655
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,974,18170,2400,22070
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,939,10580,1705,13910
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,1090,14505,2080,17255
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,1053,16085,2935,21105
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,1186,16115,2480,20745
