DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2016,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,4576,71700,58600,134950
2017,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,4619,77450,60500,141050
2018,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,4890,72900,56550,133500
2019,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,4989,67300,54400,123100
2020,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,5504,72900,60300,135750
2021,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,5685,74750,63900,139700
2022,TLF1,Derbyshire and Nottinghamshire,Q (86-88),Human health and social work activities,5340,81800,60950,144250
2015,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",514,8975,8980,18960
2016,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",499,10095,10085,19850
2017,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",527,6925,11445,18835
2018,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",565,11360,12570,26025
2019,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",522,8735,13115,24670
2020,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",438,6735,12765,25075
2021,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",458,9980,11565,26065
2022,TLF1,Derbyshire and Nottinghamshire,R (90-93),"Arts, entertainment and recreation",505,7575,13310,23960
2015,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,733,9955,5715,17585
2016,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,813,8155,6490,15590
2017,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,914,6925,6460,14645
2018,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,993,10440,7065,18055
2019,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,928,9885,7150,18450
2020,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,903,8105,5445,14725
2021,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,911,9125,6120,15510
2022,TLF1,Derbyshire and Nottinghamshire,S (94-96),Other service activities,1072,7380,4995,13465
2015,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,46,0,0,0
2016,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,72,0,0,0
2017,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,54,0,0,0
2018,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,60,0,0,0
2019,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,69,0,0,0
2020,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,55,0,0,0
2021,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,81,0,0,0
2022,TLF1,Derbyshire and Nottinghamshire,T (97-98),Activities of households,70,0,0,0
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",307,3255,1080,11105
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",270,3560,1010,10980
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",285,4235,1450,11835
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",301,3520,1395,11200
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",318,4265,925,11475
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",282,4605,1280,12940
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",388,2730,1125,10830
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",A (1-3),"Agriculture, forestry and fishing",490,3355,1075,11165
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,164,2510,280,2895
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,156,2135,100,2385
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,172,2175,100,2425
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,215,2130,100,2115
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,231,1930,60,1930
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,182,1865,50,1865
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,242,1905,105,1905
