DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2021,TLC11,Hartlepool and Stockton-on-Tees,CM (31-33),"Other manufacturing, repair and installation",68,890,190
2022,TLC11,Hartlepool and Stockton-on-Tees,CM (31-33),"Other manufacturing, repair and installation",57,1120,245
2015,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",396,1735,190
2016,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",454,1505,105
2017,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",358,2065,135
2018,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",307,2150,110
2019,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",312,2025,125
2020,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",355,1995,120
2021,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",262,2075,190
2022,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",272,2020,290
2015,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,163,2025,300
2016,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,194,1355,130
2017,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,180,1725,900
2018,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,192,1575,240
2019,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,206,1725,225
2020,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,132,1460,130
2021,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,193,2345,120
2022,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,206,1600,75
2015,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,117,1265,290
2016,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,118,1405,50
2017,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,93,1200,350
2018,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,100,1810,15
2019,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,97,1380,130
2020,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,73,735,90
2021,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,106,835,15
2022,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,95,1495,10
2015,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,242,3460,780
2016,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,223,3140,640
2017,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,234,2415,455
2018,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,218,3655,575
2019,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,236,3165,465
2020,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,200,3270,860
2021,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,228,3990,530
2022,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,227,3490,495
2015,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,157,2215,530
2016,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,142,2180,415
2017,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,149,1980,240
2018,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,136,1985,445
2019,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,121,1925,220
2020,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,99,2225,255
2021,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,161,1980,435
2022,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,153,1735,430
2015,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,145,2875,730
2016,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,169,2675,595
2017,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,253,3195,390
2018,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,335,2920,375
2019,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,333,2675,500
2020,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,263,2520,340
2021,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,369,2610,470
2022,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,402,2975,395
2015,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,418,4110,15070
2016,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,380,3975,7705
2017,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,340,4085,8015
2018,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,384,4570,7725
2019,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,330,4500,7955
2020,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,308,3630,7945
2021,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,290,4730,8190
2022,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,270,3995,7465
2015,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",324,2240,1200
2016,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",328,2440,355
