DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2022,TLD4,Lancashire,F (41-43),Construction,2767,31815,4135,38620
2015,TLD4,Lancashire,G-T,Services sector,18280,311485,182965,509515
2016,TLD4,Lancashire,G-T,Services sector,19459,308550,192735,512600
2017,TLD4,Lancashire,G-T,Services sector,20046,300520,193650,508510
2018,TLD4,Lancashire,G-T,Services sector,20255,308660,191710,513645
2019,TLD4,Lancashire,G-T,Services sector,21623,315030,198025,524280
2020,TLD4,Lancashire,G-T,Services sector,20198,302025,195020,509020
2021,TLD4,Lancashire,G-T,Services sector,22673,324250,187825,529235
2022,TLD4,Lancashire,G-T,Services sector,24690,329275,187770,530025
2015,TLD6,Cheshire,A-E,Production sector,7519,46335,3900,55245
2016,TLD6,Cheshire,A-E,Production sector,8168,49805,5325,59230
2017,TLD6,Cheshire,A-E,Production sector,7871,49150,4860,60070
2018,TLD6,Cheshire,A-E,Production sector,7594,51100,4290,60345
2019,TLD6,Cheshire,A-E,Production sector,7817,49975,5155,60160
2020,TLD6,Cheshire,A-E,Production sector,7575,48060,5440,59870
2021,TLD6,Cheshire,A-E,Production sector,6877,44730,4225,55395
2022,TLD6,Cheshire,A-E,Production sector,8207,48000,4775,59960
2015,TLD6,Cheshire,F (41-43),Construction,1425,18315,1335,20690
2016,TLD6,Cheshire,F (41-43),Construction,1528,15955,2430,18905
2017,TLD6,Cheshire,F (41-43),Construction,1635,20520,2575,24065
2018,TLD6,Cheshire,F (41-43),Construction,1868,19550,3370,24655
2019,TLD6,Cheshire,F (41-43),Construction,1873,19680,3190,24515
2020,TLD6,Cheshire,F (41-43),Construction,1890,18190,1900,21820
2021,TLD6,Cheshire,F (41-43),Construction,2226,23855,4080,28935
2022,TLD6,Cheshire,F (41-43),Construction,2474,23655,2685,28355
2015,TLD6,Cheshire,G-T,Services sector,17067,265365,142485,415990
