DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2020,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,343,3630,7945
2021,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,319,4730,8190
2022,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,322,3995,7465
2015,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",275,2240,1200
2016,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",288,2440,355
2017,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",192,1925,455
2018,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",114,2410,475
2019,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",106,2655,545
2020,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",94,2615,590
2021,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",88,3725,670
2022,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",123,3350,215
2015,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,74,1550,340
2016,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,67,1270,130
2017,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,72,1355,330
2018,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,49,1620,345
2019,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,49,1450,300
2020,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,76,1190,235
2021,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,68,990,320
2022,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,67,1465,385
2015,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,54,435,580
2016,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,50,485,200
2017,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,43,400,200
2018,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,36,455,200
2019,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,45,480,225
2020,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,46,430,200
2021,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,51,430,100
2022,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,50,505,130
2015,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,14,425,1050
2016,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,17,320,420
2017,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,21,430,420
2018,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,17,415,370
2019,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,18,310,310
2020,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,5,285,350
2021,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,22,215,385
2022,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,30,315,375
2015,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,116,2130,9900
2016,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,116,2375,4325
2017,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,117,2545,5000
2018,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,119,1860,4025
2019,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,137,1800,4800
2020,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,86,2075,5200
2021,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,131,2900,5825
2022,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,167,2875,5250
2015,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,5,125,80
2016,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,6,50,45
2017,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,6,0,35
2018,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,5,5,40
2019,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,5,215,65
2020,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,2,30,70
2021,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,4,70,75
2022,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,4,140,30
2015,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,46,1635,370
2016,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,89,1000,210
2017,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,90,2415,225
2018,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,90,2175,445
2019,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,111,2160,285
2020,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,169,2475,535
2021,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,186,2835,425
2022,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,182,2480,265
2015,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,294,1685,930
2016,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,330,1370,385
2017,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,434,1380,390
2018,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,415,1740,475
2019,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,455,1655,490
2020,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,381,1370,440
2021,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,418,1280,415
2022,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,548,540,270
2015,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",134,305,190
2016,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",131,290,80
2017,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",147,340,155
2018,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",122,360,120
2019,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",25,605,100
2020,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",29,465,175
2021,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",28,415,185
2022,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",30,320,165
2015,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",312,1070,930
2016,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",310,1525,330
2017,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",267,1360,270
2018,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",161,1045,435
2019,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",189,1140,405
2020,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",187,660,305
2021,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",152,820,415
2022,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",153,800,320
2015,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,56,1345,590
2016,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,104,1245,470
2017,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,123,1055,260
2018,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,90,710,185
2019,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,95,1095,525
2020,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,81,910,220
2021,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,120,1030,555
2022,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,135,1445,420
2015,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,44,1330,330
2016,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,38,605,225
2017,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,40,855,195
2018,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,41,1165,200
2019,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,50,1115,205
2020,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,53,1145,220
2021,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,52,1690,420
2022,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,96,1020,255
2015,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,135,5990,1150
2016,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,103,3785,570
2017,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,106,2805,785
2018,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,96,2600,260
2019,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,93,4005,425
2020,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,64,2250,775
2021,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,60,3335,540
2022,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,55,2275,305
2015,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,187,1200,270
2016,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,227,1055,105
2017,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,187,685,1565
2018,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,259,680,100
2019,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,289,605,65
2020,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,397,345,165
2021,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,441,1160,225
2022,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,371,1050,170
2015,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",19,310,40
2016,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",22,660,45
2017,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",22,360,80
2018,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",17,290,35
2019,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",17,355,50
2020,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",16,380,105
2021,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",34,510,0
2022,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",31,470,105
2015,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,5,50,60
2016,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,4,75,25
2017,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,4,50,25
