DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2017,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",111,755,405,1260
2018,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",102,865,415,1465
2019,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",127,980,530,1535
2020,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",150,1075,395,1535
2021,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",139,1175,360,1605
2022,TLM72,Clackmannanshire and Fife,L (68),"Real estate activities, excluding imputed rental",202,1020,415,1480
2015,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",322,5595,2810,7245
2016,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",379,6140,1395,7975
2017,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",411,5670,1805,7930
2018,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",438,5970,1690,8160
2019,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",426,5635,1625,7650
2020,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",395,5035,1940,7280
2021,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",392,4825,1580,6695
2022,TLM72,Clackmannanshire and Fife,M (69-75),"Professional, scientific and technical activities",424,5785,1460,7490
2015,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,156,3740,3670,5830
2016,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,145,4320,2040,6805
2017,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,143,5640,2380,8630
2018,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,154,4920,2350,7555
2019,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,126,4910,2050,7145
2020,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,107,3800,2240,6325
2021,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,143,4525,1775,6435
2022,TLM72,Clackmannanshire and Fife,N (77-82),Administrative and support service activities,149,4960,2510,7605
2015,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,770,6755,5910,9325
2016,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,867,9150,5610,14575
2017,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,937,8400,5625,15100
2018,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,821,8350,4095,12850
2019,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,866,9350,4120,12825
2020,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,827,9275,3945,12550
2021,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,851,9410,3600,12860
2022,TLM72,Clackmannanshire and Fife,O (84),Public administration and defence,806,9420,2325,11830
2015,TLM72,Clackmannanshire and Fife,P (85),Education,707,9020,9530,13760
2016,TLM72,Clackmannanshire and Fife,P (85),Education,621,8245,5635,14225
2017,TLM72,Clackmannanshire and Fife,P (85),Education,629,7795,5960,13640
2018,TLM72,Clackmannanshire and Fife,P (85),Education,605,8790,6855,14930
2019,TLM72,Clackmannanshire and Fife,P (85),Education,657,9005,6395,15225
2020,TLM72,Clackmannanshire and Fife,P (85),Education,536,8855,6100,15105
2021,TLM72,Clackmannanshire and Fife,P (85),Education,631,9610,7050,16995
2022,TLM72,Clackmannanshire and Fife,P (85),Education,709,9870,6200,15775
2015,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,824,14830,25370,27625
2016,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,785,11895,8985,21625
2017,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,789,13645,7865,21690
2018,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,782,12295,8725,21450
2019,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,762,12180,8600,21155
2020,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,554,11800,9575,21805
2021,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,755,12215,10190,22840
2022,TLM72,Clackmannanshire and Fife,Q (86-88),Human health and social work activities,870,12800,9125,22690
2015,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",159,1810,3980,3790
2016,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",144,2400,2410,5095
2017,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",159,1790,2440,4140
2018,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",143,1860,2140,4035
2019,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",161,1915,2105,3935
2020,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",100,1325,1720,3085
2021,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",107,1490,2020,3810
2022,TLM72,Clackmannanshire and Fife,R (90-93),"Arts, entertainment and recreation",124,2050,2385,4530
2015,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,165,2505,2310,3845
2016,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,171,2655,1305,4165
2017,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,173,1980,1400,3700
2018,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,188,2375,1600,4350
2019,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,184,1895,1400,3465
2020,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,124,1755,1225,3350
2021,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,124,1975,1255,3525
2022,TLM72,Clackmannanshire and Fife,S (94-96),Other service activities,143,2490,1285,4025
2015,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,8,0,0,0
2016,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,11,0,0,0
2017,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,12,0,0,0
2018,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,17,0,0,0
2019,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,17,0,0,0
2020,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,13,0,0,0
2021,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,10,0,0,0
2022,TLM72,Clackmannanshire and Fife,T (97-98),Activities of households,9,0,0,0
2015,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",63,120,0,210
2016,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",73,140,10,260
2017,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",74,105,15,230
2018,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",70,1035,430,2035
2019,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",79,1035,435,2275
2020,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",67,955,410,2220
2021,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",68,1195,415,2365
2022,TLM73,East Lothian and Midlothian,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",69,1070,420,2285
2015,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,244,3285,430,3665
2016,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,270,3580,210,4060
2017,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,268,4285,560,4995
2018,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,295,4485,315,4825
2019,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,274,3680,290,4225
2020,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,255,4105,350,4625
2021,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,297,4555,565,5135
2022,TLM73,East Lothian and Midlothian,C (10-33),Manufacturing,294,4035,370,4510
2015,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",175,990,70,1010
2016,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",190,940,90,1050
2017,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",188,1150,70,1280
2018,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",171,1180,65,1210
2019,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",167,1090,135,1195
2020,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",185,1175,115,1435
2021,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",199,1190,60,1245
2022,TLM73,East Lothian and Midlothian,DE (35-39),"Electricity, gas, water; sewerage and waste management",138,1170,110,1295
2015,TLM73,East Lothian and Midlothian,F (41-43),Construction,327,4465,1040,5385
2016,TLM73,East Lothian and Midlothian,F (41-43),Construction,271,4205,325,4685
2017,TLM73,East Lothian and Midlothian,F (41-43),Construction,287,4640,440,5290
2018,TLM73,East Lothian and Midlothian,F (41-43),Construction,274,4340,430,5275
2019,TLM73,East Lothian and Midlothian,F (41-43),Construction,267,4535,470,5280
2020,TLM73,East Lothian and Midlothian,F (41-43),Construction,205,3705,425,4345
2021,TLM73,East Lothian and Midlothian,F (41-43),Construction,242,5200,400,6145
2022,TLM73,East Lothian and Midlothian,F (41-43),Construction,220,4885,620,5830
2015,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,360,4680,8930,9555
2016,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,356,4830,4565,9760
2017,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,342,5180,4715,10510
2018,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,333,5120,4480,9985
2019,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,369,4965,4515,10180
2020,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,288,4645,4885,10155
2021,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,362,5190,5380,11290
2022,TLM73,East Lothian and Midlothian,G (45-47),Wholesale and retail trade; repair of motor vehicles,382,5365,4885,10605
2015,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,79,915,1060,1660
2016,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,77,1160,365,1615
2017,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,74,1100,385,1575
2018,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,83,1110,435,1665
2019,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,86,1210,300,1700
2020,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,49,1190,400,1680
2021,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,59,1050,395,1560
2022,TLM73,East Lothian and Midlothian,H (49-53),Transportation and storage,51,945,380,1505
2015,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,94,1865,5560,4850
2016,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,110,1685,2065,3980
2017,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,116,1760,2925,4690
