DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLC13,71,1395,94,Darlington,Architectural and engineering activities
2015,TLC13,72-73,60,2,Darlington,Research and development; advertising and market research
2015,TLC13,74-75,145,10,Darlington,"Other professional, scientific and technical activities"
2015,TLC13,77,115,15,Darlington,Rental and leasing activities
2015,TLC13,78-80,1720,45,Darlington,Employment activities; tourism and security services
2015,TLC13,81,320,5,Darlington,Services to buildings and landscape activities
2015,TLC13,82,610,24,Darlington,Office administration and business support activities
2015,TLC13,86,3335,229,Darlington,Human health activities
2015,TLC13,87,1020,83,Darlington,Residential care activities
2015,TLC13,88,650,23,Darlington,Social work activities
2015,TLC13,90-91,55,3,Darlington,"Creative, arts, entertainment and cultural activities"
2015,TLC13,92-93,205,15,Darlington,Gambling and betting; sports and recreation activities
2015,TLC13,94,130,2,Darlington,Activities of membership organisations
2015,TLC13,95,10,2,Darlington,"Repair of computers, personal and household goods"
2015,TLC13,96,240,35,Darlington,Other personal service activities
2015,TLC13,AB (1-9),225,21,Darlington,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC13,CA (10-12),200,5,Darlington,"Manufacture of food, beverages and tobacco"
2015,TLC13,CB (13-15),75,3,Darlington,"Manufacture of textiles, wearing apparel and leather"
2015,TLC13,CC (16-18),360,13,Darlington,Manufacture of wood and paper products and printing
2015,TLC13,CD-CG (19-23),525,37,Darlington,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC13,CH (24-25),680,32,Darlington,Manufacture of basic and fabricated metal products
2015,TLC13,CI-CJ (26-27),10,0,Darlington,"Manufacture of electronic, optical and electrical products"
2015,TLC13,CK-CL (28-30),1000,125,Darlington,Manufacture of machinery and transport equipment
2015,TLC13,DE (35-39),200,24,Darlington,"Electricity, gas, water; sewerage and waste management"
2015,TLC13,K (64-66),1660,127,Darlington,Financial and insurance activities
2015,TLC13,O (84),1910,130,Darlington,Public administration and defence
2015,TLC13,P (85),2535,125,Darlington,Education
2015,TLC13,T (97-98),0,2,Darlington,Activities of households
2015,TLC14,31-32,2155,53,Durham,Manufacture of furniture; other manufacturing
2015,TLC14,33,490,11,Durham,Repair and installation of machinery and equipment
2015,TLC14,41,2475,101,Durham,Construction of buildings
2015,TLC14,42,1760,150,Durham,Civil engineering
2015,TLC14,43,4540,310,Durham,Specialised construction activities
2015,TLC14,45,2450,97,Durham,Motor trades
2015,TLC14,46,4480,151,Durham,Wholesale trade
2015,TLC14,47,6730,577,Durham,Retail trade
2015,TLC14,49-51,2860,77,Durham,"Land, water and air transport"
2015,TLC14,52,1725,58,Durham,Warehousing and transport support activities
2015,TLC14,53,845,56,Durham,Postal and courier activities
2015,TLC14,55,1390,35,Durham,Accommodation
2015,TLC14,56,2845,176,Durham,Food and beverage service activities
2015,TLC14,58-60,210,2,Durham,Publishing; film and TV production and broadcasting
2015,TLC14,61-63,1500,64,Durham,Telecommunications; information technology
2015,TLC14,68,1745,342,Durham,"Real estate activities, excluding imputed rental"
2015,TLC14,69,950,46,Durham,Legal and accounting activities
2015,TLC14,70,1755,27,Durham,Head offices and management consultancy
2015,TLC14,71,3585,49,Durham,Architectural and engineering activities
2015,TLC14,72-73,1330,8,Durham,Research and development; advertising and market research
2015,TLC14,74-75,465,35,Durham,"Other professional, scientific and technical activities"
2015,TLC14,77,730,53,Durham,Rental and leasing activities
2015,TLC14,78-80,3025,92,Durham,Employment activities; tourism and security services
2015,TLC14,81,1180,39,Durham,Services to buildings and landscape activities
2015,TLC14,82,1670,52,Durham,Office administration and business support activities
2015,TLC14,86,5880,411,Durham,Human health activities
2015,TLC14,87,3850,139,Durham,Residential care activities
2015,TLC14,88,4450,103,Durham,Social work activities
2015,TLC14,90-91,545,16,Durham,"Creative, arts, entertainment and cultural activities"
2015,TLC14,92-93,945,68,Durham,Gambling and betting; sports and recreation activities
2015,TLC14,94,605,13,Durham,Activities of membership organisations
2015,TLC14,95,65,15,Durham,"Repair of computers, personal and household goods"
2015,TLC14,96,520,81,Durham,Other personal service activities
2015,TLC14,AB (1-9),805,90,Durham,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC14,CA (10-12),1950,117,Durham,"Manufacture of food, beverages and tobacco"
2015,TLC14,CB (13-15),550,59,Durham,"Manufacture of textiles, wearing apparel and leather"
2015,TLC14,CC (16-18),2130,72,Durham,Manufacture of wood and paper products and printing
2015,TLC14,CD-CG (19-23),4855,681,Durham,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC14,CH (24-25),4795,241,Durham,Manufacture of basic and fabricated metal products
2015,TLC14,CI-CJ (26-27),2425,114,Durham,"Manufacture of electronic, optical and electrical products"
2015,TLC14,CK-CL (28-30),4570,380,Durham,Manufacture of machinery and transport equipment
2015,TLC14,DE (35-39),1425,493,Durham,"Electricity, gas, water; sewerage and waste management"
2015,TLC14,K (64-66),1335,159,Durham,Financial and insurance activities
2015,TLC14,O (84),10320,639,Durham,Public administration and defence
2015,TLC14,P (85),10375,667,Durham,Education
2015,TLC14,T (97-98),0,11,Durham,Activities of households
2015,TLC21,31-32,1405,66,Northumberland,Manufacture of furniture; other manufacturing
2015,TLC21,33,225,5,Northumberland,Repair and installation of machinery and equipment
2015,TLC21,41,1950,135,Northumberland,Construction of buildings
2015,TLC21,42,430,40,Northumberland,Civil engineering
2015,TLC21,43,2450,152,Northumberland,Specialised construction activities
2015,TLC21,45,1740,51,Northumberland,Motor trades
2015,TLC21,46,2400,116,Northumberland,Wholesale trade
2015,TLC21,47,4065,321,Northumberland,Retail trade
2015,TLC21,49-51,1275,99,Northumberland,"Land, water and air transport"
2015,TLC21,52,610,31,Northumberland,Warehousing and transport support activities
2015,TLC21,53,370,17,Northumberland,Postal and courier activities
2015,TLC21,55,1650,83,Northumberland,Accommodation
2015,TLC21,56,2100,110,Northumberland,Food and beverage service activities
2015,TLC21,58-60,370,15,Northumberland,Publishing; film and TV production and broadcasting
2015,TLC21,61-63,1225,27,Northumberland,Telecommunications; information technology
2015,TLC21,68,1130,169,Northumberland,"Real estate activities, excluding imputed rental"
2015,TLC21,69,825,28,Northumberland,Legal and accounting activities
2015,TLC21,70,900,15,Northumberland,Head offices and management consultancy
2015,TLC21,71,3000,70,Northumberland,Architectural and engineering activities
2015,TLC21,72-73,420,20,Northumberland,Research and development; advertising and market research
2015,TLC21,74-75,545,40,Northumberland,"Other professional, scientific and technical activities"
2015,TLC21,77,145,19,Northumberland,Rental and leasing activities
2015,TLC21,78-80,1155,45,Northumberland,Employment activities; tourism and security services
2015,TLC21,81,535,26,Northumberland,Services to buildings and landscape activities
2015,TLC21,82,760,37,Northumberland,Office administration and business support activities
2015,TLC21,86,5810,365,Northumberland,Human health activities
2015,TLC21,87,2400,86,Northumberland,Residential care activities
2015,TLC21,88,2650,28,Northumberland,Social work activities
2015,TLC21,90-91,640,17,Northumberland,"Creative, arts, entertainment and cultural activities"
2015,TLC21,92-93,560,44,Northumberland,Gambling and betting; sports and recreation activities
2015,TLC21,94,315,12,Northumberland,Activities of membership organisations
2015,TLC21,95,15,0,Northumberland,"Repair of computers, personal and household goods"
2015,TLC21,96,795,55,Northumberland,Other personal service activities
2015,TLC21,AB (1-9),1745,223,Northumberland,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC21,CA (10-12),1210,72,Northumberland,"Manufacture of food, beverages and tobacco"
2015,TLC21,CB (13-15),100,8,Northumberland,"Manufacture of textiles, wearing apparel and leather"
2015,TLC21,CC (16-18),2400,177,Northumberland,Manufacture of wood and paper products and printing
2015,TLC21,CD-CG (19-23),3185,425,Northumberland,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC21,CH (24-25),880,38,Northumberland,Manufacture of basic and fabricated metal products
2015,TLC21,CI-CJ (26-27),1275,41,Northumberland,"Manufacture of electronic, optical and electrical products"
2015,TLC21,CK-CL (28-30),1035,68,Northumberland,Manufacture of machinery and transport equipment
2015,TLC21,DE (35-39),1580,135,Northumberland,"Electricity, gas, water; sewerage and waste management"
2015,TLC21,K (64-66),510,84,Northumberland,Financial and insurance activities
2015,TLC21,O (84),2660,203,Northumberland,Public administration and defence
2015,TLC21,P (85),4805,299,Northumberland,Education
2015,TLC21,T (97-98),0,8,Northumberland,Activities of households
2015,TLC22,31-32,2540,49,Tyneside,Manufacture of furniture; other manufacturing
2015,TLC22,33,1515,75,Tyneside,Repair and installation of machinery and equipment
2015,TLC22,41,5800,317,Tyneside,Construction of buildings
2015,TLC22,42,1270,150,Tyneside,Civil engineering
