ITL321CD,year,SIC07_code,value,Region_name,SIC07_description
TLL14,2014,CD-CG (19-23),257,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2014,CH (24-25),95,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2014,CI-CJ (26-27),17,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2014,CK-CL (28-30),112,South West Wales,Manufacture of machinery and transport equipment
TLL14,2014,DE (35-39),323,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2014,K (64-66),52,South West Wales,Financial and insurance activities
TLL14,2014,O (84),362,South West Wales,Public administration and defence
TLL14,2014,P (85),296,South West Wales,Education
TLL14,2014,T (97-98),14,South West Wales,Activities of households
TLL14,2015,31-32,6,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2015,33,16,South West Wales,Repair and installation of machinery and equipment
TLL14,2015,41,73,South West Wales,Construction of buildings
TLL14,2015,42,55,South West Wales,Civil engineering
TLL14,2015,43,163,South West Wales,Specialised construction activities
TLL14,2015,45,76,South West Wales,Motor trades
TLL14,2015,46,114,South West Wales,Wholesale trade
TLL14,2015,47,315,South West Wales,Retail trade
TLL14,2015,49-51,123,South West Wales,"Land, water and air transport"
TLL14,2015,52,42,South West Wales,Warehousing and transport support activities
TLL14,2015,53,19,South West Wales,Postal and courier activities
TLL14,2015,55,87,South West Wales,Accommodation
TLL14,2015,56,114,South West Wales,Food and beverage service activities
TLL14,2015,58-60,40,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2015,61-63,25,South West Wales,Telecommunications; information technology
TLL14,2015,68,78,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2015,68IMP,559,South West Wales,Owner-occupiers' imputed rental
TLL14,2015,69,39,South West Wales,Legal and accounting activities
TLL14,2015,70,8,South West Wales,Head offices and management consultancy
TLL14,2015,71,27,South West Wales,Architectural and engineering activities
TLL14,2015,72-73,21,South West Wales,Research and development; advertising and market research
TLL14,2015,74-75,26,South West Wales,"Other professional, scientific and technical activities"
TLL14,2015,77,20,South West Wales,Rental and leasing activities
TLL14,2015,78-80,39,South West Wales,Employment activities; tourism and security services
TLL14,2015,81,23,South West Wales,Services to buildings and landscape activities
TLL14,2015,82,32,South West Wales,Office administration and business support activities
TLL14,2015,86,373,South West Wales,Human health activities
TLL14,2015,87,89,South West Wales,Residential care activities
TLL14,2015,88,78,South West Wales,Social work activities
TLL14,2015,90-91,20,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2015,92-93,43,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2015,94,11,South West Wales,Activities of membership organisations
TLL14,2015,95,5,South West Wales,"Repair of computers, personal and household goods"
TLL14,2015,96,55,South West Wales,Other personal service activities
TLL14,2015,AB (1-9),257,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2015,CA (10-12),133,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2015,CB (13-15),14,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2015,CC (16-18),18,South West Wales,Manufacture of wood and paper products and printing
TLL14,2015,CD-CG (19-23),695,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2015,CH (24-25),103,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2015,CI-CJ (26-27),12,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2015,CK-CL (28-30),99,South West Wales,Manufacture of machinery and transport equipment
TLL14,2015,DE (35-39),427,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2015,K (64-66),55,South West Wales,Financial and insurance activities
TLL14,2015,O (84),345,South West Wales,Public administration and defence
TLL14,2015,P (85),306,South West Wales,Education
TLL14,2015,T (97-98),18,South West Wales,Activities of households
TLL14,2016,31-32,6,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2016,33,24,South West Wales,Repair and installation of machinery and equipment
TLL14,2016,41,91,South West Wales,Construction of buildings
TLL14,2016,42,55,South West Wales,Civil engineering
TLL14,2016,43,152,South West Wales,Specialised construction activities
TLL14,2016,45,62,South West Wales,Motor trades
TLL14,2016,46,128,South West Wales,Wholesale trade
TLL14,2016,47,341,South West Wales,Retail trade
TLL14,2016,49-51,117,South West Wales,"Land, water and air transport"
TLL14,2016,52,13,South West Wales,Warehousing and transport support activities
TLL14,2016,53,22,South West Wales,Postal and courier activities
TLL14,2016,55,99,South West Wales,Accommodation
TLL14,2016,56,113,South West Wales,Food and beverage service activities
TLL14,2016,58-60,43,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2016,61-63,44,South West Wales,Telecommunications; information technology
TLL14,2016,68,88,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2016,68IMP,572,South West Wales,Owner-occupiers' imputed rental
TLL14,2016,69,38,South West Wales,Legal and accounting activities
TLL14,2016,70,9,South West Wales,Head offices and management consultancy
TLL14,2016,71,26,South West Wales,Architectural and engineering activities
TLL14,2016,72-73,13,South West Wales,Research and development; advertising and market research
TLL14,2016,74-75,30,South West Wales,"Other professional, scientific and technical activities"
TLL14,2016,77,23,South West Wales,Rental and leasing activities
TLL14,2016,78-80,34,South West Wales,Employment activities; tourism and security services
TLL14,2016,81,24,South West Wales,Services to buildings and landscape activities
TLL14,2016,82,33,South West Wales,Office administration and business support activities
TLL14,2016,86,420,South West Wales,Human health activities
TLL14,2016,87,99,South West Wales,Residential care activities
TLL14,2016,88,90,South West Wales,Social work activities
TLL14,2016,90-91,19,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2016,92-93,36,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2016,94,13,South West Wales,Activities of membership organisations
TLL14,2016,95,5,South West Wales,"Repair of computers, personal and household goods"
TLL14,2016,96,57,South West Wales,Other personal service activities
TLL14,2016,AB (1-9),207,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2016,CA (10-12),144,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2016,CB (13-15),6,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2016,CC (16-18),20,South West Wales,Manufacture of wood and paper products and printing
TLL14,2016,CD-CG (19-23),678,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2016,CH (24-25),128,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2016,CI-CJ (26-27),12,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2016,CK-CL (28-30),117,South West Wales,Manufacture of machinery and transport equipment
TLL14,2016,DE (35-39),419,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2016,K (64-66),46,South West Wales,Financial and insurance activities
TLL14,2016,O (84),358,South West Wales,Public administration and defence
TLL14,2016,P (85),308,South West Wales,Education
TLL14,2016,T (97-98),18,South West Wales,Activities of households
TLL14,2017,31-32,7,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2017,33,15,South West Wales,Repair and installation of machinery and equipment
TLL14,2017,41,102,South West Wales,Construction of buildings
TLL14,2017,42,58,South West Wales,Civil engineering
TLL14,2017,43,160,South West Wales,Specialised construction activities
TLL14,2017,45,74,South West Wales,Motor trades
TLL14,2017,46,149,South West Wales,Wholesale trade
TLL14,2017,47,334,South West Wales,Retail trade
TLL14,2017,49-51,109,South West Wales,"Land, water and air transport"
TLL14,2017,52,15,South West Wales,Warehousing and transport support activities
TLL14,2017,53,24,South West Wales,Postal and courier activities
TLL14,2017,55,111,South West Wales,Accommodation
TLL14,2017,56,128,South West Wales,Food and beverage service activities
TLL14,2017,58-60,33,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2017,61-63,55,South West Wales,Telecommunications; information technology
TLL14,2017,68,91,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2017,68IMP,578,South West Wales,Owner-occupiers' imputed rental
TLL14,2017,69,43,South West Wales,Legal and accounting activities
TLL14,2017,70,9,South West Wales,Head offices and management consultancy
TLL14,2017,71,24,South West Wales,Architectural and engineering activities
TLL14,2017,72-73,24,South West Wales,Research and development; advertising and market research
TLL14,2017,74-75,33,South West Wales,"Other professional, scientific and technical activities"
TLL14,2017,77,21,South West Wales,Rental and leasing activities
TLL14,2017,78-80,39,South West Wales,Employment activities; tourism and security services
TLL14,2017,81,21,South West Wales,Services to buildings and landscape activities
TLL14,2017,82,23,South West Wales,Office administration and business support activities
TLL14,2017,86,435,South West Wales,Human health activities
TLL14,2017,87,112,South West Wales,Residential care activities
TLL14,2017,88,91,South West Wales,Social work activities
TLL14,2017,90-91,19,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2017,92-93,40,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2017,94,12,South West Wales,Activities of membership organisations
TLL14,2017,95,6,South West Wales,"Repair of computers, personal and household goods"
TLL14,2017,96,63,South West Wales,Other personal service activities
TLL14,2017,AB (1-9),255,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2017,CA (10-12),147,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2017,CB (13-15),11,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2017,CC (16-18),15,South West Wales,Manufacture of wood and paper products and printing
TLL14,2017,CD-CG (19-23),758,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2017,CH (24-25),102,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2017,CI-CJ (26-27),18,South West Wales,"Manufacture of electronic, optical and electrical products"
