ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLG3,West Midlands,G-T,Services sector,23559,24554,25214,27097,28225,29977,31987,33875,35049,36623,37526,37337,38764,39723,40641,41698,43217,45177,48644,50832,52950,54269,51252,56066,60736,65935
TLH2,Bedfordshire and Hertfordshire,A-E,Production sector,4900,4994,5103,4919,4953,5172,5034,5577,5929,6137,6891,6281,6058,5859,5915,6437,6834,6855,7133,7410,7194,7393,7223,7585,7870,9193
TLH2,Bedfordshire and Hertfordshire,F (41-43),Construction,1803,2063,2350,2418,2679,2734,2805,3196,3096,3273,3440,2753,2819,3129,3318,3717,4147,4721,4842,5129,5264,5258,4531,4712,5239,5788
TLH2,Bedfordshire and Hertfordshire,G-T,Services sector,19611,20740,21900,23364,24140,25668,26833,28283,29002,30383,31723,31204,30924,30745,31299,33115,35347,36679,38434,41868,43100,45117,42540,46821,49887,53906
TLH3,Essex,A-E,Production sector,4758,4388,4418,4393,4302,4456,4353,4440,4663,4679,4924,4414,4853,4702,4924,5092,5144,5025,5166,5261,5285,5228,4924,5059,5794,6133
TLH3,Essex,F (41-43),Construction,1696,1791,1906,2149,2341,2604,2551,2813,2862,3124,3041,2831,2955,3125,2965,3270,3809,4220,4273,4849,5095,5150,3987,4821,6481,7388
TLH3,Essex,G-T,Services sector,14464,15013,16038,17389,17993,19911,20662,21280,22172,22986,23765,23561,24029,23818,24707,25088,26405,27783,29464,31932,33125,34037,32002,36031,38410,41277
TLH4,Cambridgeshire and Peterborough,A-E,Production sector,2828,2747,2807,2869,3082,3086,2983,2955,3231,3371,3629,3448,3785,4132,4235,4423,4647,4443,4362,4529,4585,4841,4756,4983,5319,5874
TLH4,Cambridgeshire and Peterborough,F (41-43),Construction,560,633,685,735,821,876,920,976,1101,1109,1102,985,974,1034,976,1050,1223,1361,1486,1485,1549,1607,1521,1544,1894,2038
TLH4,Cambridgeshire and Peterborough,G-T,Services sector,8670,9226,9616,10217,10559,11159,11897,12881,13860,14343,14595,14529,14774,14812,15611,15804,16357,17024,18020,19417,20077,20718,20966,22182,23482,26174
