ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLI7,Outer London - West and North West,G-T,Services sector,28860,30668,32353,33321,34367,36243,37582,39460,41887,44215,45031,42442,43299,44531,47376,49986,54324,56694,58654,59101,59726,61493,51824,52028,56900
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",A-E,Production sector,7895,7678,7876,7590,7968,8241,7985,8390,8375,8405,8805,8751,8600,8847,9305,9736,10303,10178,10254,10965,11485,12262,12643,12541,13473
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",F (41-43),Construction,1837,2165,2439,2700,2793,2949,2946,3370,3403,3870,3926,3208,3302,3569,3659,4113,4144,4522,4543,4610,4892,5281,5679,5327,6248
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",G-T,Services sector,35199,37599,39816,41344,43392,46500,47761,50162,52434,55088,57975,57501,59094,61428,63502,65140,68410,71387,72471,74699,78357,82568,82842,88478,96279
TLJ2,"Surrey, East and West Sussex",A-E,Production sector,5708,6190,6209,5815,6256,6433,6145,6023,6266,6541,6909,6538,6935,7029,7455,7864,8100,8425,8870,9739,9994,10143,9829,9454,8981
TLJ2,"Surrey, East and West Sussex",F (41-43),Construction,2188,2587,2847,2917,3387,3421,3558,3711,4007,4544,4661,3852,4046,4121,4067,4347,4915,5384,5204,5484,5784,6342,5325,5924,6787
TLJ2,"Surrey, East and West Sussex",G-T,Services sector,33960,35752,37556,39666,40577,42193,43663,46103,49367,50643,53696,53923,54777,55196,57721,59823,61757,63953,65780,67489,69025,72317,71387,75951,84214
TLJ3,Hampshire and Isle of Wight,A-E,Production sector,5557,5453,5520,5155,5367,5684,5671,5654,5567,5733,6011,5950,6286,6555,6841,7395,7294,7381,7273,7718,7969,8726,9549,9058,9540
TLJ3,Hampshire and Isle of Wight,F (41-43),Construction,1526,1622,1852,2027,2255,2455,2554,2915,2864,3034,2973,2491,2525,2705,2813,2992,3226,3435,3655,3975,3960,4175,3803,3849,4570
TLJ3,Hampshire and Isle of Wight,G-T,Services sector,20837,21385,22653,24445,25649,26413,28320,29838,31132,32949,34861,35121,36333,37357,38414,39440,40947,42171,43081,44919,46143,49118,46347,50101,55433
TLJ4,Kent,A-E,Production sector,4276,4411,4229,4071,4284,4462,4331,4374,4286,4342,4704,4310,4387,4433,4651,4812,4890,5004,5104,5216,5318,5830,5887,5908,5428
TLJ4,Kent,F (41-43),Construction,1477,1668,1676,1846,1980,2258,2300,2675,2706,2911,3015,2600,2686,2828,2865,3240,3325,3742,3879,4188,4331,4616,4322,4835,5577
TLJ4,Kent,G-T,Services sector,15323,15742,16466,17383,18079,18984,20342,21497,22334,23214,24881,24249,24984,25767,26282,26858,28138,29418,31026,31970,33278,34841,34353,35795,39688
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",A-E,Production sector,7850,7988,8035,7814,8412,8917,8913,9266,9864,10271,10698,10160,10370,10207,10557,10697,11071,10995,10851,11310,11430,12077,11185,11255,12441
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",F (41-43),Construction,1672,1873,2064,2580,2708,2770,2827,3015,3092,3330,3286,2771,2893,2985,3054,3315,3696,4146,4194,4547,4489,4712,4083,5112,5865
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",G-T,Services sector,24802,26047,27579,30172,31149,32715,34712,36022,37279,39661,41765,42649,44563,44892,46611,47822,50934,51776,54362,56375,58376,61226,59614,65951,72636
TLK2,Dorset and Somerset,A-E,Production sector,3477,3660,3647,3482,3623,3552,3712,3765,3914,3805,4108,3831,4038,4261,4536,4653,4782,4701,4673,4972,5308,5390,5466,5488,5923
TLK2,Dorset and Somerset,F (41-43),Construction,815,966,1077,1094,1214,1404,1426,1575,1489,1514,1604,1400,1421,1444,1466,1592,1686,1871,1941,2151,2265,2191,1942,2198,2547
