ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLH6,Suffolk,G-T,Services sector,9689,10317,11046,11247,11367,11704,12096,12793,13037,13355,13285,12820,13271,13376,13659,14092,14354,14439,14943,15247,15274,15749,13723,15181,15708,15426
TLI3,Inner London - West,A-E,Production sector,2161,2363,2525,2731,2806,2686,2804,2577,2782,2953,2673,2662,2354,2130,1919,2087,2120,2663,2764,2903,3178,3678,4417,4694,5017,4740
TLI3,Inner London - West,F (41-43),Construction,3497,3821,4522,4516,3796,3670,3406,3082,3347,3703,4266,3531,3773,4119,4601,5411,5532,5534,5235,5169,5032,5105,4132,4202,4967,5298
TLI3,Inner London - West,G-T,Services sector,113574,116383,126706,128421,131560,137615,141809,154230,158320,174464,176168,167451,173396,177562,183905,189559,198961,201783,215659,221884,229171,233239,211468,231078,244304,245724
TLI4,Inner London - East,A-E,Production sector,2608,2757,2880,2909,2970,2851,2924,2828,2912,3026,2852,2931,2844,2844,2829,2979,2635,2791,2818,2848,2945,3043,3297,3555,3248,3459
TLI4,Inner London - East,F (41-43),Construction,3385,3601,4085,4011,3494,3352,3254,3082,3366,3606,3618,3315,3914,4213,4197,4384,4458,4738,4502,4918,5037,4831,3354,3489,4044,4014
TLI4,Inner London - East,G-T,Services sector,56071,58222,64263,66842,68799,72344,75293,81249,84057,91591,94539,90648,93164,99944,102017,103758,108069,110032,113904,116927,117914,118912,104409,111753,123036,124915
TLI5,Outer London - East and North East,A-E,Production sector,3710,3961,3947,4137,3896,3800,3830,3720,4112,4071,4113,3913,3819,3771,3915,4068,4002,3754,3467,3392,3418,3342,2939,3104,3007,2983
TLI5,Outer London - East and North East,F (41-43),Construction,3924,4105,3979,4068,4048,3985,3818,3660,3791,3855,3687,3010,3681,3837,3913,4064,4156,4302,4473,4588,4553,4473,3726,4494,4639,4090
TLI5,Outer London - East and North East,G-T,Services sector,23664,24253,25125,25369,25925,27380,28205,29234,30196,30839,30073,27817,29047,29139,30357,31186,31831,32553,33200,32883,33311,33877,27701,30874,33554,33316
TLI6,Outer London - South,A-E,Production sector,1424,1579,1607,1740,1638,1626,1552,1508,1617,1513,1312,1185,1143,1016,1014,1043,1008,981,979,1007,1021,1080,1145,1069,992,1075
TLI6,Outer London - South,F (41-43),Construction,3119,3246,3165,3174,3083,2994,2871,2762,2852,2938,2832,2322,2630,2793,2910,2833,2947,2829,2806,3094,2940,2934,2427,2452,2690,2414
TLI6,Outer London - South,G-T,Services sector,24006,24894,25932,25998,26362,27614,28323,29389,29887,31302,30616,28653,29108,28840,29593,29844,30999,30784,31502,31131,31459,31653,26750,28397,30293,30538
TLI7,Outer London - West and North West,A-E,Production sector,3397,3827,3999,4228,4237,4034,3949,3952,4260,4036,3827,4099,3938,3688,3828,3929,3782,3677,3687,3748,4128,4188,4096,4314,4028,4217
TLI7,Outer London - West and North West,F (41-43),Construction,4715,4948,4841,4885,4811,4693,4514,4315,4459,4562,4444,3747,4299,4544,4773,4995,5382,5709,5784,6053,6189,5939,4996,5543,5921,4926
TLI7,Outer London - West and North West,G-T,Services sector,41707,43236,46122,45093,45434,47731,49287,51446,54844,57057,55760,51866,53188,54481,56891,59489,63244,63294,64586,64424,64492,64891,50397,51579,60031,59822
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",A-E,Production sector,8703,9077,9676,10195,10907,11437,11125,11554,11739,11535,11613,10915,10573,10527,10871,10854,11415,11343,11138,11655,12241,12827,13737,13440,12156,11760
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",F (41-43),Construction,5037,5611,5771,5998,5724,5510,5189,5346,5207,5444,5070,4210,4654,5115,5095,5557,5406,5629,5398,5364,5351,5616,6105,5759,5703,5955
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",G-T,Services sector,44571,47371,51719,52266,53883,56751,57495,59837,61891,63965,65746,64716,67931,71050,73457,74720,78327,81194,81271,82785,85789,88937,84047,90621,93756,93546
TLJ2,"Surrey, East and West Sussex",A-E,Production sector,6181,7106,7309,7439,8114,8421,8007,7796,8254,8522,8572,7678,7905,7919,8117,8481,8635,9304,9621,10231,10632,10717,10936,10544,9031,8719
TLJ2,"Surrey, East and West Sussex",F (41-43),Construction,6046,6760,6794,6540,7013,6462,6341,5959,6205,6469,6075,5095,5747,5950,5710,5920,6459,6747,6216,6411,6343,6764,5732,6379,6598,6981
TLJ2,"Surrey, East and West Sussex",G-T,Services sector,56509,58079,60689,61263,60625,61314,61430,63824,65693,67355,69300,67891,70338,70000,72212,73088,74296,75756,76162,77215,77339,79137,72549,76511,81941,82061
TLJ3,Hampshire and Isle of Wight,A-E,Production sector,6316,6533,6868,6887,7369,7835,7773,7735,8006,7987,7998,7715,7782,7923,7994,8427,8323,8551,8272,8363,8845,9454,10676,9712,8531,8060
TLJ3,Hampshire and Isle of Wight,F (41-43),Construction,4177,4198,4374,4502,4620,4590,4497,4627,4381,4266,3860,3289,3574,3892,3933,4049,4211,4282,4352,4631,4336,4447,4099,4145,4095,3898
TLJ3,Hampshire and Isle of Wight,G-T,Services sector,33442,33514,35338,36545,37163,37182,38897,40442,40955,42990,44348,43635,46109,46937,47774,48180,49503,50296,50251,51937,52467,54436,47919,52408,54216,54778
TLJ4,Kent,A-E,Production sector,4812,5298,5107,5329,5642,5961,5835,5884,5730,5663,5831,5086,5067,5001,5132,5232,5273,5548,5622,5578,5730,6260,6627,6662,5769,5859
TLJ4,Kent,F (41-43),Construction,4047,4319,3961,4103,4061,4226,4057,4252,4146,4099,3908,3427,3798,4065,4002,4386,4342,4666,4619,4882,4742,4918,4648,5191,5038,5200
TLJ4,Kent,G-T,Services sector,27336,27410,28244,28583,28668,29079,30291,31356,31552,31833,33072,31500,32899,33557,33672,33732,34702,35634,36675,37349,38030,38685,35254,37212,39310,39240
TLK3,Cornwall and Isles of Scilly,A-E,Production sector,1181,1233,1277,1365,1522,1619,1600,1712,1701,1612,1714,1663,1518,1620,1613,1666,1929,1848,1868,2059,2035,2063,2028,2067,1884,1796
TLK3,Cornwall and Isles of Scilly,F (41-43),Construction,852,892,912,860,918,893,906,953,940,914,814,733,824,852,861,921,965,1035,1037,1142,1080,1081,1108,1117,1182,1125
TLK3,Cornwall and Isles of Scilly,G-T,Services sector,6848,6886,7139,7360,7547,7911,7991,8134,8566,8423,8518,8056,8251,8395,8505,8570,8527,8598,8964,9535,9624,9709,8421,10202,10466,10371
TLK4,Devon,A-E,Production sector,2950,3153,3183,3531,3618,3525,3514,3476,3792,3691,3739,3563,3515,3550,3537,3657,3836,3751,3853,4146,4104,4187,4185,4594,4527,4469
