DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Devon,"Agriculture, forestry and fishing",A (1-3),21020
2015,Devon,Mining and quarrying,B (5-9),610
2015,Devon,Manufacturing,C (10-33),39610
2015,Devon,"Electricity, gas, steam and air conditioning supply",D (35),860
2015,Devon,Water supply; sewerage and waste management,E (36-39),3185
2015,Devon,Construction,F (41-43),27270
2015,Devon,Wholesale and retail trade; repair of motor vehicles,G (45-47),88510
2015,Devon,Transportation and storage,H (49-53),22450
2015,Devon,Accommodation and food service activities,I (55-56),45790
2015,Devon,Information and communication,J (58-63),10905
2015,Devon,Financial and insurance activities,K (64-66),6760
2015,Devon,Real estate activities,L (68),10180
2015,Devon,"Professional, scientific and technical activities",M (69-75),30710
2015,Devon,Administrative and support service activities,N (77-82),30705
2015,Devon,Public administration and defence,O (84),21850
2015,Devon,Education,P (85),44580
2015,Devon,Human health and social work activities,Q (86-88),79750
2015,Devon,"Arts, entertainment and recreation",R (90-93),11865
2015,Devon,Other service activities,S (94-96),9725
2015,Devon,Activities of households,T (97-98),0
2015,Devon,Activities of extraterritorial organisations and bodies,U (99),0
2015,Dorset and Somerset,"Agriculture, forestry and fishing",A (1-3),19105
2015,Dorset and Somerset,Mining and quarrying,B (5-9),1205
2015,Dorset and Somerset,Manufacturing,C (10-33),56830
2015,Dorset and Somerset,"Electricity, gas, steam and air conditioning supply",D (35),1660
2015,Dorset and Somerset,Water supply; sewerage and waste management,E (36-39),3355
2015,Dorset and Somerset,Construction,F (41-43),29490
2015,Dorset and Somerset,Wholesale and retail trade; repair of motor vehicles,G (45-47),98875
2015,Dorset and Somerset,Transportation and storage,H (49-53),21880
2015,Dorset and Somerset,Accommodation and food service activities,I (55-56),48980
2015,Dorset and Somerset,Information and communication,J (58-63),12150
2015,Dorset and Somerset,Financial and insurance activities,K (64-66),16785
2015,Dorset and Somerset,Real estate activities,L (68),10675
2015,Dorset and Somerset,"Professional, scientific and technical activities",M (69-75),42360
2015,Dorset and Somerset,Administrative and support service activities,N (77-82),31760
2015,Dorset and Somerset,Public administration and defence,O (84),20100
2015,Dorset and Somerset,Education,P (85),47810
2015,Dorset and Somerset,Human health and social work activities,Q (86-88),83000
2015,Dorset and Somerset,"Arts, entertainment and recreation",R (90-93),13175
2015,Dorset and Somerset,Other service activities,S (94-96),12660
2015,Dorset and Somerset,Activities of households,T (97-98),0
2015,Dorset and Somerset,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Anglia,"Agriculture, forestry and fishing",A (1-3),30450
2015,East Anglia,Mining and quarrying,B (5-9),1280
2015,East Anglia,Manufacturing,C (10-33),102695
2015,East Anglia,"Electricity, gas, steam and air conditioning supply",D (35),3275
2015,East Anglia,Water supply; sewerage and waste management,E (36-39),10565
2015,East Anglia,Construction,F (41-43),59435
2015,East Anglia,Wholesale and retail trade; repair of motor vehicles,G (45-47),192865
2015,East Anglia,Transportation and storage,H (49-53),49890
2015,East Anglia,Accommodation and food service activities,I (55-56),76565
2015,East Anglia,Information and communication,J (58-63),39140
2015,East Anglia,Financial and insurance activities,K (64-66),27620
2015,East Anglia,Real estate activities,L (68),16650
2015,East Anglia,"Professional, scientific and technical activities",M (69-75),84560
2015,East Anglia,Administrative and support service activities,N (77-82),106320
2015,East Anglia,Public administration and defence,O (84),40750
2015,East Anglia,Education,P (85),101625
2015,East Anglia,Human health and social work activities,Q (86-88),145100
2015,East Anglia,"Arts, entertainment and recreation",R (90-93),26375
2015,East Anglia,Other service activities,S (94-96),25975
2015,East Anglia,Activities of households,T (97-98),0
2015,East Anglia,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Wales,"Agriculture, forestry and fishing",A (1-3),22105
2015,East Wales,Mining and quarrying,B (5-9),275
2015,East Wales,Manufacturing,C (10-33),63770
2015,East Wales,"Electricity, gas, steam and air conditioning supply",D (35),6245
2015,East Wales,Water supply; sewerage and waste management,E (36-39),4510
2015,East Wales,Construction,F (41-43),20530
2015,East Wales,Wholesale and retail trade; repair of motor vehicles,G (45-47),80600
2015,East Wales,Transportation and storage,H (49-53),19200
2015,East Wales,Accommodation and food service activities,I (55-56),38200
2015,East Wales,Information and communication,J (58-63),10425
2015,East Wales,Financial and insurance activities,K (64-66),19290
2015,East Wales,Real estate activities,L (68),8675
2015,East Wales,"Professional, scientific and technical activities",M (69-75),35925
2015,East Wales,Administrative and support service activities,N (77-82),43705
2015,East Wales,Public administration and defence,O (84),35000
2015,East Wales,Education,P (85),47400
2015,East Wales,Human health and social work activities,Q (86-88),77850
2015,East Wales,"Arts, entertainment and recreation",R (90-93),14280
2015,East Wales,Other service activities,S (94-96),10685
2015,East Wales,Activities of households,T (97-98),0
2015,East Wales,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Yorkshire and Northern Lincolnshire,"Agriculture, forestry and fishing",A (1-3),8250
2015,East Yorkshire and Northern Lincolnshire,Mining and quarrying,B (5-9),575
2015,East Yorkshire and Northern Lincolnshire,Manufacturing,C (10-33),62305
2015,East Yorkshire and Northern Lincolnshire,"Electricity, gas, steam and air conditioning supply",D (35),1530
2015,East Yorkshire and Northern Lincolnshire,Water supply; sewerage and waste management,E (36-39),2825
2015,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),20115
2015,East Yorkshire and Northern Lincolnshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),61770
2015,East Yorkshire and Northern Lincolnshire,Transportation and storage,H (49-53),22840
2015,East Yorkshire and Northern Lincolnshire,Accommodation and food service activities,I (55-56),24065
2015,East Yorkshire and Northern Lincolnshire,Information and communication,J (58-63),5115
2015,East Yorkshire and Northern Lincolnshire,Financial and insurance activities,K (64-66),4530
2015,East Yorkshire and Northern Lincolnshire,Real estate activities,L (68),4750
2015,East Yorkshire and Northern Lincolnshire,"Professional, scientific and technical activities",M (69-75),17710
2015,East Yorkshire and Northern Lincolnshire,Administrative and support service activities,N (77-82),31435
2015,East Yorkshire and Northern Lincolnshire,Public administration and defence,O (84),19250
2015,East Yorkshire and Northern Lincolnshire,Education,P (85),36605
2015,East Yorkshire and Northern Lincolnshire,Human health and social work activities,Q (86-88),54700
2015,East Yorkshire and Northern Lincolnshire,"Arts, entertainment and recreation",R (90-93),7990
2015,East Yorkshire and Northern Lincolnshire,Other service activities,S (94-96),5445
2015,East Yorkshire and Northern Lincolnshire,Activities of households,T (97-98),0
2015,East Yorkshire and Northern Lincolnshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Eastern Scotland,"Agriculture, forestry and fishing",A (1-3),2145
2015,Eastern Scotland,Mining and quarrying,B (5-9),840
2015,Eastern Scotland,Manufacturing,C (10-33),60780
2015,Eastern Scotland,"Electricity, gas, steam and air conditioning supply",D (35),5205
2015,Eastern Scotland,Water supply; sewerage and waste management,E (36-39),5550
2015,Eastern Scotland,Construction,F (41-43),48710
2015,Eastern Scotland,Wholesale and retail trade; repair of motor vehicles,G (45-47),136435
2015,Eastern Scotland,Transportation and storage,H (49-53),32675
2015,Eastern Scotland,Accommodation and food service activities,I (55-56),78750
2015,Eastern Scotland,Information and communication,J (58-63),28230
2015,Eastern Scotland,Financial and insurance activities,K (64-66),47020
2015,Eastern Scotland,Real estate activities,L (68),11975
2015,Eastern Scotland,"Professional, scientific and technical activities",M (69-75),59140
2015,Eastern Scotland,Administrative and support service activities,N (77-82),55160
2015,Eastern Scotland,Public administration and defence,O (84),55300
2015,Eastern Scotland,Education,P (85),79250
2015,Eastern Scotland,Human health and social work activities,Q (86-88),146800
2015,Eastern Scotland,"Arts, entertainment and recreation",R (90-93),26940
2015,Eastern Scotland,Other service activities,S (94-96),17915
2015,Eastern Scotland,Activities of households,T (97-98),0
2015,Eastern Scotland,Activities of extraterritorial organisations and bodies,U (99),0
2015,Essex,"Agriculture, forestry and fishing",A (1-3),8540
2015,Essex,Mining and quarrying,B (5-9),180
2015,Essex,Manufacturing,C (10-33),46755
2015,Essex,"Electricity, gas, steam and air conditioning supply",D (35),630
2015,Essex,Water supply; sewerage and waste management,E (36-39),8620
2015,Essex,Construction,F (41-43),52900
2015,Essex,Wholesale and retail trade; repair of motor vehicles,G (45-47),133745
2015,Essex,Transportation and storage,H (49-53),38430
2015,Essex,Accommodation and food service activities,I (55-56),48325
2015,Essex,Information and communication,J (58-63),25160
2015,Essex,Financial and insurance activities,K (64-66),18750
2015,Essex,Real estate activities,L (68),11475
2015,Essex,"Professional, scientific and technical activities",M (69-75),52525
2015,Essex,Administrative and support service activities,N (77-82),58825
2015,Essex,Public administration and defence,O (84),21300
2015,Essex,Education,P (85),61035
2015,Essex,Human health and social work activities,Q (86-88),91900
2015,Essex,"Arts, entertainment and recreation",R (90-93),16785
2015,Essex,Other service activities,S (94-96),17490
2015,Essex,Activities of households,T (97-98),0
2015,Essex,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Gloucestershire, Wiltshire and Bath/Bristol area","Agriculture, forestry and fishing",A (1-3),19265
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Mining and quarrying,B (5-9),900
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Manufacturing,C (10-33),97875
2015,"Gloucestershire, Wiltshire and Bath/Bristol area","Electricity, gas, steam and air conditioning supply",D (35),4805
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Water supply; sewerage and waste management,E (36-39),8665
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Construction,F (41-43),56920
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Wholesale and retail trade; repair of motor vehicles,G (45-47),191945
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Transportation and storage,H (49-53),55165
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Accommodation and food service activities,I (55-56),79975
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Information and communication,J (58-63),44660
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Financial and insurance activities,K (64-66),55435
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Real estate activities,L (68),21950
2015,"Gloucestershire, Wiltshire and Bath/Bristol area","Professional, scientific and technical activities",M (69-75),109825
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Administrative and support service activities,N (77-82),98665
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Public administration and defence,O (84),54750
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Education,P (85),99475
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Human health and social work activities,Q (86-88),158400
2015,"Gloucestershire, Wiltshire and Bath/Bristol area","Arts, entertainment and recreation",R (90-93),23690
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Other service activities,S (94-96),24175
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Activities of households,T (97-98),0
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Activities of extraterritorial organisations and bodies,U (99),0
2015,Greater Manchester,"Agriculture, forestry and fishing",A (1-3),2870
2015,Greater Manchester,Mining and quarrying,B (5-9),185
2015,Greater Manchester,Manufacturing,C (10-33),101545
2015,Greater Manchester,"Electricity, gas, steam and air conditioning supply",D (35),6890
2015,Greater Manchester,Water supply; sewerage and waste management,E (36-39),8250
