DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Greater Manchester North East,Construction,F (41-43),14995
2022,Greater Manchester North East,Services sector,G-T,195370
2022,Greater Manchester North West,Production sector,A-E,28115
2022,Greater Manchester North West,Construction,F (41-43),18825
2022,Greater Manchester North West,Services sector,G-T,186340
2022,Greater Manchester South East,Production sector,A-E,24495
2022,Greater Manchester South East,Construction,F (41-43),11320
2022,Greater Manchester South East,Services sector,G-T,172970
2022,Greater Manchester South West,Production sector,A-E,18070
2022,Greater Manchester South West,Construction,F (41-43),16660
2022,Greater Manchester South West,Services sector,G-T,298650
2022,Gwent Valleys,Production sector,A-E,24870
2022,Gwent Valleys,Construction,F (41-43),5935
2022,Gwent Valleys,Services sector,G-T,81630
2022,Gwynedd,Production sector,A-E,9045
2022,Gwynedd,Construction,F (41-43),2970
2022,Gwynedd,Services sector,G-T,47640
2022,Hackney and Newham,Production sector,A-E,9200
2022,Hackney and Newham,Construction,F (41-43),13635
2022,Hackney and Newham,Services sector,G-T,279755
2022,Haringey and Islington,Production sector,A-E,7325
2022,Haringey and Islington,Construction,F (41-43),9680
2022,Haringey and Islington,Services sector,G-T,320785
2022,Harrow and Hillingdon,Production sector,A-E,11875
2022,Harrow and Hillingdon,Construction,F (41-43),12540
2022,Harrow and Hillingdon,Services sector,G-T,252220
2022,Hartlepool and Stockton-on-Tees,Production sector,A-E,16730
2022,Hartlepool and Stockton-on-Tees,Construction,F (41-43),7680
2022,Hartlepool and Stockton-on-Tees,Services sector,G-T,89000
2022,Heart of Essex,Production sector,A-E,11035
2022,Heart of Essex,Construction,F (41-43),15015
2022,Heart of Essex,Services sector,G-T,120070
2022,"Herefordshire, County of",Production sector,A-E,22515
2022,"Herefordshire, County of",Construction,F (41-43),4790
2022,"Herefordshire, County of",Services sector,G-T,61600
2022,Hertfordshire CC,Production sector,A-E,43835
2022,Hertfordshire CC,Construction,F (41-43),48660
2022,Hertfordshire CC,Services sector,G-T,547580
2022,Hounslow and Richmond upon Thames,Production sector,A-E,5895
2022,Hounslow and Richmond upon Thames,Construction,F (41-43),7400
2022,Hounslow and Richmond upon Thames,Services sector,G-T,233860
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Production sector,A-E,12370
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Construction,F (41-43),7115
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Services sector,G-T,114275
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Production sector,A-E,15415
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Construction,F (41-43),6705
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Services sector,G-T,82090
2022,Isle of Anglesey,Production sector,A-E,4475
2022,Isle of Anglesey,Construction,F (41-43),1440
2022,Isle of Anglesey,Services sector,G-T,17445
2022,Isle of Wight,Production sector,A-E,5590
2022,Isle of Wight,Construction,F (41-43),2540
2022,Isle of Wight,Services sector,G-T,45210
2022,Kensington & Chelsea and Hammersmith & Fulham,Production sector,A-E,4895
2022,Kensington & Chelsea and Hammersmith & Fulham,Construction,F (41-43),5170
2022,Kensington & Chelsea and Hammersmith & Fulham,Services sector,G-T,276050
2022,Kent Thames Gateway,Production sector,A-E,17000
2022,Kent Thames Gateway,Construction,F (41-43),13795
2022,Kent Thames Gateway,Services sector,G-T,129075
2022,"Kingston upon Hull, City of",Production sector,A-E,23735
2022,"Kingston upon Hull, City of",Construction,F (41-43),7785
2022,"Kingston upon Hull, City of",Services sector,G-T,97955
2022,Lambeth,Production sector,A-E,3155
2022,Lambeth,Construction,F (41-43),5040
2022,Lambeth,Services sector,G-T,145775
2022,Lancaster and Wyre,Production sector,A-E,11795
2022,Lancaster and Wyre,Construction,F (41-43),6210
2022,Lancaster and Wyre,Services sector,G-T,73955
2022,Leeds,Production sector,A-E,36725
2022,Leeds,Construction,F (41-43),19445
2022,Leeds,Services sector,G-T,443135
2022,Leicester,Production sector,A-E,22790
2022,Leicester,Construction,F (41-43),5165
2022,Leicester,Services sector,G-T,151895
2022,Leicestershire CC and Rutland,Production sector,A-E,53860
2022,Leicestershire CC and Rutland,Construction,F (41-43),22790
2022,Leicestershire CC and Rutland,Services sector,G-T,284155
2022,Lewisham and Southwark,Production sector,A-E,5725
2022,Lewisham and Southwark,Construction,F (41-43),7550
2022,Lewisham and Southwark,Services sector,G-T,353125
2022,Lincolnshire CC,Production sector,A-E,55255
2022,Lincolnshire CC,Construction,F (41-43),19155
2022,Lincolnshire CC,Services sector,G-T,242525
2022,Liverpool,Production sector,A-E,13345
2022,Liverpool,Construction,F (41-43),10465
2022,Liverpool,Services sector,G-T,257740
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Production sector,A-E,11915
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Construction,F (41-43),3270
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Services sector,G-T,38235
2022,Luton,Production sector,A-E,6160
2022,Luton,Construction,F (41-43),4445
2022,Luton,Services sector,G-T,97840
2022,Manchester,Production sector,A-E,14265
2022,Manchester,Construction,F (41-43),9070
2022,Manchester,Services sector,G-T,411195
2022,Medway,Production sector,A-E,9610
2022,Medway,Construction,F (41-43),7210
2022,Medway,Services sector,G-T,81795
2022,"Merton, Kingston upon Thames and Sutton",Production sector,A-E,7600
2022,"Merton, Kingston upon Thames and Sutton",Construction,F (41-43),13015
2022,"Merton, Kingston upon Thames and Sutton",Services sector,G-T,225315
2022,Mid Kent,Production sector,A-E,15040
2022,Mid Kent,Construction,F (41-43),10275
2022,Mid Kent,Services sector,G-T,116990
2022,Mid Lancashire,Production sector,A-E,33740
2022,Mid Lancashire,Construction,F (41-43),12665
2022,Mid Lancashire,Services sector,G-T,173270
2022,Milton Keynes,Production sector,A-E,12420
2022,Milton Keynes,Construction,F (41-43),5835
2022,Milton Keynes,Services sector,G-T,165535
2022,Monmouthshire and Newport,Production sector,A-E,15420
2022,Monmouthshire and Newport,Construction,F (41-43),5015
2022,Monmouthshire and Newport,Services sector,G-T,94855
2022,Na h-Eileanan Siar,Production sector,A-E,5445
2022,Na h-Eileanan Siar,Construction,F (41-43),840
2022,Na h-Eileanan Siar,Services sector,G-T,9490
2022,North Hampshire,Production sector,A-E,13365
2022,North Hampshire,Construction,F (41-43),9505
2022,North Hampshire,Services sector,G-T,156865
2022,North Lanarkshire,Production sector,A-E,15620
2022,North Lanarkshire,Construction,F (41-43),15710
2022,North Lanarkshire,Services sector,G-T,101065
2022,North Northamptonshire,Production sector,A-E,22345
2022,North Northamptonshire,Construction,F (41-43),8085
2022,North Northamptonshire,Services sector,G-T,124345
2022,North Nottinghamshire,Production sector,A-E,31645
2022,North Nottinghamshire,Construction,F (41-43),16835
2022,North Nottinghamshire,Services sector,G-T,161890
2022,North Yorkshire CC,Production sector,A-E,56870
2022,North Yorkshire CC,Construction,F (41-43),15095
2022,North Yorkshire CC,Services sector,G-T,224245
2022,North and North East Lincolnshire,Production sector,A-E,33750
2022,North and North East Lincolnshire,Construction,F (41-43),8470
2022,North and North East Lincolnshire,Services sector,G-T,101690
2022,North and West Norfolk,Production sector,A-E,17115
2022,North and West Norfolk,Construction,F (41-43),6585
2022,North and West Norfolk,Services sector,G-T,75335
2022,Northumberland,Production sector,A-E,20770
2022,Northumberland,Construction,F (41-43),6015
2022,Northumberland,Services sector,G-T,86205
2022,Norwich and East Norfolk,Production sector,A-E,15570
2022,Norwich and East Norfolk,Construction,F (41-43),9035
2022,Norwich and East Norfolk,Services sector,G-T,154270
2022,Nottingham,Production sector,A-E,14660
2022,Nottingham,Construction,F (41-43),6615
2022,Nottingham,Services sector,G-T,188185
2022,Orkney Islands,Production sector,A-E,2905
2022,Orkney Islands,Construction,F (41-43),840
2022,Orkney Islands,Services sector,G-T,9190
2022,Oxfordshire CC,Production sector,A-E,36230
2022,Oxfordshire CC,Construction,F (41-43),17455
2022,Oxfordshire CC,Services sector,G-T,345010
2022,"Perth and Kinross, and Stirling",Production sector,A-E,19160
2022,"Perth and Kinross, and Stirling",Construction,F (41-43),7175
2022,"Perth and Kinross, and Stirling",Services sector,G-T,91270
2022,Peterborough,Production sector,A-E,11645
2022,Peterborough,Construction,F (41-43),4565
2022,Peterborough,Services sector,G-T,100330
2022,Plymouth,Production sector,A-E,18040
2022,Plymouth,Construction,F (41-43),5320
2022,Plymouth,Services sector,G-T,94990
2022,Portsmouth,Production sector,A-E,10360
2022,Portsmouth,Construction,F (41-43),3800
2022,Portsmouth,Services sector,G-T,93525
2022,Powys,Production sector,A-E,15485
2022,Powys,Construction,F (41-43),2630
2022,Powys,Services sector,G-T,37665
2022,Redbridge and Waltham Forest,Production sector,A-E,5275
2022,Redbridge and Waltham Forest,Construction,F (41-43),11195
2022,Redbridge and Waltham Forest,Services sector,G-T,146130
2022,Sandwell,Production sector,A-E,24320
2022,Sandwell,Construction,F (41-43),5870
2022,Sandwell,Services sector,G-T,98080
2022,Scottish Borders,Production sector,A-E,9285
2022,Scottish Borders,Construction,F (41-43),3060
2022,Scottish Borders,Services sector,G-T,34250
2022,Sefton,Production sector,A-E,5280
2022,Sefton,Construction,F (41-43),5210
2022,Sefton,Services sector,G-T,81895
2022,Sheffield,Production sector,A-E,23205
2022,Sheffield,Construction,F (41-43),9240
2022,Sheffield,Services sector,G-T,238635
2022,Shetland Islands,Production sector,A-E,4100
2022,Shetland Islands,Construction,F (41-43),1370
2022,Shetland Islands,Services sector,G-T,9990
2022,Shropshire,Production sector,A-E,26250
2022,Shropshire,Construction,F (41-43),6465
2022,Shropshire,Services sector,G-T,109000
2022,Solihull,Production sector,A-E,15240
2022,Solihull,Construction,F (41-43),5985
2022,Solihull,Services sector,G-T,127745
2022,Somerset CC,Production sector,A-E,51365
2022,Somerset CC,Construction,F (41-43),14025
2022,Somerset CC,Services sector,G-T,184615
2022,South Ayrshire,Production sector,A-E,6895
2022,South Ayrshire,Construction,F (41-43),2520
2022,South Ayrshire,Services sector,G-T,37670
