DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,"Leicestershire, Rutland and Northamptonshire",Transportation and storage,H (49-53),68455
2022,"Leicestershire, Rutland and Northamptonshire",Accommodation and food service activities,I (55-56),19250
2022,"Leicestershire, Rutland and Northamptonshire",Information and communication,J (58-63),19735
2022,"Leicestershire, Rutland and Northamptonshire",Financial and insurance activities,K (64-66),19320
2022,"Leicestershire, Rutland and Northamptonshire",Real estate activities,L (68),9015
2022,"Leicestershire, Rutland and Northamptonshire","Professional, scientific and technical activities",M (69-75),56180
2022,"Leicestershire, Rutland and Northamptonshire",Administrative and support service activities,N (77-82),57995
2022,"Leicestershire, Rutland and Northamptonshire",Public administration and defence,O (84),26700
2022,"Leicestershire, Rutland and Northamptonshire",Education,P (85),42740
2022,"Leicestershire, Rutland and Northamptonshire",Human health and social work activities,Q (86-88),63500
2022,"Leicestershire, Rutland and Northamptonshire","Arts, entertainment and recreation",R (90-93),8420
2022,"Leicestershire, Rutland and Northamptonshire",Other service activities,S (94-96),7755
2022,"Leicestershire, Rutland and Northamptonshire",Activities of households,T (97-98),0
2022,"Leicestershire, Rutland and Northamptonshire",Activities of extraterritorial organisations and bodies,U (99),0
2022,Lincolnshire,"Agriculture, forestry and fishing",A (1-3),8205
2022,Lincolnshire,Mining and quarrying,B (5-9),450
2022,Lincolnshire,Manufacturing,C (10-33),32290
2022,Lincolnshire,"Electricity, gas, steam and air conditioning supply",D (35),530
2022,Lincolnshire,Water supply; sewerage and waste management,E (36-39),3065
2022,Lincolnshire,Construction,F (41-43),14205
2022,Lincolnshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),31000
2022,Lincolnshire,Transportation and storage,H (49-53),10115
2022,Lincolnshire,Accommodation and food service activities,I (55-56),9715
2022,Lincolnshire,Information and communication,J (58-63),5010
2022,Lincolnshire,Financial and insurance activities,K (64-66),1980
2022,Lincolnshire,Real estate activities,L (68),2580
2022,Lincolnshire,"Professional, scientific and technical activities",M (69-75),10205
2022,Lincolnshire,Administrative and support service activities,N (77-82),17795
2022,Lincolnshire,Public administration and defence,O (84),8225
2022,Lincolnshire,Education,P (85),14445
2022,Lincolnshire,Human health and social work activities,Q (86-88),25350
2022,Lincolnshire,"Arts, entertainment and recreation",R (90-93),2375
2022,Lincolnshire,Other service activities,S (94-96),2890
2022,Lincolnshire,Activities of households,T (97-98),0
2022,Lincolnshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,Merseyside,"Agriculture, forestry and fishing",A (1-3),450
2022,Merseyside,Mining and quarrying,B (5-9),390
2022,Merseyside,Manufacturing,C (10-33),42215
2022,Merseyside,"Electricity, gas, steam and air conditioning supply",D (35),745
2022,Merseyside,Water supply; sewerage and waste management,E (36-39),4400
2022,Merseyside,Construction,F (41-43),28235
2022,Merseyside,Wholesale and retail trade; repair of motor vehicles,G (45-47),50050
2022,Merseyside,Transportation and storage,H (49-53),33260
2022,Merseyside,Accommodation and food service activities,I (55-56),18560
2022,Merseyside,Information and communication,J (58-63),14860
2022,Merseyside,Financial and insurance activities,K (64-66),13300
2022,Merseyside,Real estate activities,L (68),7850
2022,Merseyside,"Professional, scientific and technical activities",M (69-75),37135
2022,Merseyside,Administrative and support service activities,N (77-82),32130
2022,Merseyside,Public administration and defence,O (84),34400
2022,Merseyside,Education,P (85),33580
2022,Merseyside,Human health and social work activities,Q (86-88),78550
2022,Merseyside,"Arts, entertainment and recreation",R (90-93),6180
2022,Merseyside,Other service activities,S (94-96),7975
2022,Merseyside,Activities of households,T (97-98),0
2022,Merseyside,Activities of extraterritorial organisations and bodies,U (99),0
2022,North Eastern Scotland,"Agriculture, forestry and fishing",A (1-3),4010
2022,North Eastern Scotland,Mining and quarrying,B (5-9),22310
2022,North Eastern Scotland,Manufacturing,C (10-33),18660
2022,North Eastern Scotland,"Electricity, gas, steam and air conditioning supply",D (35),975
2022,North Eastern Scotland,Water supply; sewerage and waste management,E (36-39),1110
2022,North Eastern Scotland,Construction,F (41-43),11880
2022,North Eastern Scotland,Wholesale and retail trade; repair of motor vehicles,G (45-47),16185
2022,North Eastern Scotland,Transportation and storage,H (49-53),9375
2022,North Eastern Scotland,Accommodation and food service activities,I (55-56),8250
2022,North Eastern Scotland,Information and communication,J (58-63),4130
2022,North Eastern Scotland,Financial and insurance activities,K (64-66),1395
2022,North Eastern Scotland,Real estate activities,L (68),1545
2022,North Eastern Scotland,"Professional, scientific and technical activities",M (69-75),26780
2022,North Eastern Scotland,Administrative and support service activities,N (77-82),12865
2022,North Eastern Scotland,Public administration and defence,O (84),8010
2022,North Eastern Scotland,Education,P (85),10730
2022,North Eastern Scotland,Human health and social work activities,Q (86-88),15470
2022,North Eastern Scotland,"Arts, entertainment and recreation",R (90-93),2695
2022,North Eastern Scotland,Other service activities,S (94-96),2000
2022,North Eastern Scotland,Activities of households,T (97-98),0
2022,North Eastern Scotland,Activities of extraterritorial organisations and bodies,U (99),0
2022,North Yorkshire,"Agriculture, forestry and fishing",A (1-3),5045
2022,North Yorkshire,Mining and quarrying,B (5-9),515
2022,North Yorkshire,Manufacturing,C (10-33),34575
2022,North Yorkshire,"Electricity, gas, steam and air conditioning supply",D (35),1360
2022,North Yorkshire,Water supply; sewerage and waste management,E (36-39),1850
2022,North Yorkshire,Construction,F (41-43),14805
2022,North Yorkshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),31265
2022,North Yorkshire,Transportation and storage,H (49-53),13230
