DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Falkirk,Construction,F (41-43),515
2022,Falkirk,Services sector,G-T,23715
2022,Flintshire and Wrexham,Production sector,A-E,2045
2022,Flintshire and Wrexham,Construction,F (41-43),910
2022,Flintshire and Wrexham,Services sector,G-T,36630
2022,Glasgow City,Production sector,A-E,1855
2022,Glasgow City,Construction,F (41-43),1605
2022,Glasgow City,Services sector,G-T,129430
2022,Gloucestershire CC,Production sector,A-E,4285
2022,Gloucestershire CC,Construction,F (41-43),2785
2022,Gloucestershire CC,Services sector,G-T,95670
2022,Greater Manchester North East,Production sector,A-E,2675
2022,Greater Manchester North East,Construction,F (41-43),1705
2022,Greater Manchester North East,Services sector,G-T,66825
2022,Greater Manchester North West,Production sector,A-E,2640
2022,Greater Manchester North West,Construction,F (41-43),1740
2022,Greater Manchester North West,Services sector,G-T,70320
2022,Greater Manchester South East,Production sector,A-E,2380
2022,Greater Manchester South East,Construction,F (41-43),1620
2022,Greater Manchester South East,Services sector,G-T,61560
2022,Greater Manchester South West,Production sector,A-E,1725
2022,Greater Manchester South West,Construction,F (41-43),1970
2022,Greater Manchester South West,Services sector,G-T,84740
2022,Gwent Valleys,Production sector,A-E,1590
2022,Gwent Valleys,Construction,F (41-43),820
2022,Gwent Valleys,Services sector,G-T,31985
2022,Gwynedd,Production sector,A-E,725
2022,Gwynedd,Construction,F (41-43),430
2022,Gwynedd,Services sector,G-T,21520
2022,Hackney and Newham,Production sector,A-E,1075
2022,Hackney and Newham,Construction,F (41-43),3245
2022,Hackney and Newham,Services sector,G-T,75990
2022,Haringey and Islington,Production sector,A-E,895
2022,Haringey and Islington,Construction,F (41-43),2515
2022,Haringey and Islington,Services sector,G-T,85380
2022,Harrow and Hillingdon,Production sector,A-E,1265
2022,Harrow and Hillingdon,Construction,F (41-43),3350
2022,Harrow and Hillingdon,Services sector,G-T,74595
2022,Hartlepool and Stockton-on-Tees,Production sector,A-E,1720
2022,Hartlepool and Stockton-on-Tees,Construction,F (41-43),580
2022,Hartlepool and Stockton-on-Tees,Services sector,G-T,32800
2022,Heart of Essex,Production sector,A-E,1380
2022,Heart of Essex,Construction,F (41-43),2265
2022,Heart of Essex,Services sector,G-T,44380
2022,"Herefordshire, County of",Production sector,A-E,1790
2022,"Herefordshire, County of",Construction,F (41-43),815
2022,"Herefordshire, County of",Services sector,G-T,25000
2022,Hertfordshire CC,Production sector,A-E,4595
2022,Hertfordshire CC,Construction,F (41-43),6710
2022,Hertfordshire CC,Services sector,G-T,169850
2022,Hounslow and Richmond upon Thames,Production sector,A-E,560
2022,Hounslow and Richmond upon Thames,Construction,F (41-43),1860
2022,Hounslow and Richmond upon Thames,Services sector,G-T,70275
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Production sector,A-E,1100
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Construction,F (41-43),790
2022,"Inverclyde, East Renfrewshire, and Renfrewshire",Services sector,G-T,42535
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Production sector,A-E,1895
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Construction,F (41-43),790
2022,"Inverness and Nairn, Moray, and Badenoch and Strathspey",Services sector,G-T,32565
2022,Isle of Anglesey,Production sector,A-E,330
2022,Isle of Anglesey,Construction,F (41-43),190
2022,Isle of Anglesey,Services sector,G-T,7375
2022,Isle of Wight,Production sector,A-E,430
2022,Isle of Wight,Construction,F (41-43),415
2022,Isle of Wight,Services sector,G-T,18015
2022,Kensington & Chelsea and Hammersmith & Fulham,Production sector,A-E,580
2022,Kensington & Chelsea and Hammersmith & Fulham,Construction,F (41-43),1255
2022,Kensington & Chelsea and Hammersmith & Fulham,Services sector,G-T,72125
2022,Kent Thames Gateway,Production sector,A-E,1510
2022,Kent Thames Gateway,Construction,F (41-43),1950
2022,Kent Thames Gateway,Services sector,G-T,47445
2022,"Kingston upon Hull, City of",Production sector,A-E,2195
2022,"Kingston upon Hull, City of",Construction,F (41-43),775
2022,"Kingston upon Hull, City of",Services sector,G-T,36300
2022,Lambeth,Production sector,A-E,300
2022,Lambeth,Construction,F (41-43),815
2022,Lambeth,Services sector,G-T,41690
2022,Lancaster and Wyre,Production sector,A-E,1150
2022,Lancaster and Wyre,Construction,F (41-43),655
2022,Lancaster and Wyre,Services sector,G-T,28815
2022,Leeds,Production sector,A-E,3635
2022,Leeds,Construction,F (41-43),1765
2022,Leeds,Services sector,G-T,148825
2022,Leicester,Production sector,A-E,2490
2022,Leicester,Construction,F (41-43),820
2022,Leicester,Services sector,G-T,54440
2022,Leicestershire CC and Rutland,Production sector,A-E,5065
2022,Leicestershire CC and Rutland,Construction,F (41-43),3290
2022,Leicestershire CC and Rutland,Services sector,G-T,94760
2022,Lewisham and Southwark,Production sector,A-E,680
2022,Lewisham and Southwark,Construction,F (41-43),1760
2022,Lewisham and Southwark,Services sector,G-T,82300
2022,Lincolnshire CC,Production sector,A-E,3960
2022,Lincolnshire CC,Construction,F (41-43),2845
2022,Lincolnshire CC,Services sector,G-T,93960
2022,Liverpool,Production sector,A-E,1430
2022,Liverpool,Construction,F (41-43),1235
2022,Liverpool,Services sector,G-T,88590
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Production sector,A-E,1660
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Construction,F (41-43),340
2022,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",Services sector,G-T,15415
2022,Luton,Production sector,A-E,445
2022,Luton,Construction,F (41-43),735
2022,Luton,Services sector,G-T,34275
2022,Manchester,Production sector,A-E,1675
2022,Manchester,Construction,F (41-43),980
2022,Manchester,Services sector,G-T,120050
2022,Medway,Production sector,A-E,665
2022,Medway,Construction,F (41-43),1250
2022,Medway,Services sector,G-T,29155
2022,"Merton, Kingston upon Thames and Sutton",Production sector,A-E,875
2022,"Merton, Kingston upon Thames and Sutton",Construction,F (41-43),3150
2022,"Merton, Kingston upon Thames and Sutton",Services sector,G-T,78275
2022,Mid Kent,Production sector,A-E,1465
2022,Mid Kent,Construction,F (41-43),1805
2022,Mid Kent,Services sector,G-T,39505
2022,Mid Lancashire,Production sector,A-E,2695
2022,Mid Lancashire,Construction,F (41-43),1370
2022,Mid Lancashire,Services sector,G-T,56950
2022,Milton Keynes,Production sector,A-E,1025
2022,Milton Keynes,Construction,F (41-43),880
2022,Milton Keynes,Services sector,G-T,48910
2022,Monmouthshire and Newport,Production sector,A-E,1165
2022,Monmouthshire and Newport,Construction,F (41-43),620
2022,Monmouthshire and Newport,Services sector,G-T,33915
2022,Na h-Eileanan Siar,Production sector,A-E,590
2022,Na h-Eileanan Siar,Construction,F (41-43),60
2022,Na h-Eileanan Siar,Services sector,G-T,4050
2022,North Hampshire,Production sector,A-E,1215
2022,North Hampshire,Construction,F (41-43),1385
2022,North Hampshire,Services sector,G-T,45920
2022,North Lanarkshire,Production sector,A-E,1370
2022,North Lanarkshire,Construction,F (41-43),1705
2022,North Lanarkshire,Services sector,G-T,35045
2022,North Northamptonshire,Production sector,A-E,1875
2022,North Northamptonshire,Construction,F (41-43),1250
2022,North Northamptonshire,Services sector,G-T,42905
2022,North Nottinghamshire,Production sector,A-E,3100
2022,North Nottinghamshire,Construction,F (41-43),2135
2022,North Nottinghamshire,Services sector,G-T,62465
2022,North Yorkshire CC,Production sector,A-E,5210
2022,North Yorkshire CC,Construction,F (41-43),1320
2022,North Yorkshire CC,Services sector,G-T,89980
2022,North and North East Lincolnshire,Production sector,A-E,2100
2022,North and North East Lincolnshire,Construction,F (41-43),715
2022,North and North East Lincolnshire,Services sector,G-T,39480
2022,North and West Norfolk,Production sector,A-E,1345
2022,North and West Norfolk,Construction,F (41-43),1055
2022,North and West Norfolk,Services sector,G-T,30660
2022,Northumberland,Production sector,A-E,1800
2022,Northumberland,Construction,F (41-43),420
2022,Northumberland,Services sector,G-T,34890
2022,Norwich and East Norfolk,Production sector,A-E,1550
2022,Norwich and East Norfolk,Construction,F (41-43),1345
2022,Norwich and East Norfolk,Services sector,G-T,56670
2022,Nottingham,Production sector,A-E,1280
2022,Nottingham,Construction,F (41-43),905
2022,Nottingham,Services sector,G-T,63900
2022,Orkney Islands,Production sector,A-E,550
2022,Orkney Islands,Construction,F (41-43),75
2022,Orkney Islands,Services sector,G-T,4185
2022,Oxfordshire CC,Production sector,A-E,3095
2022,Oxfordshire CC,Construction,F (41-43),2755
2022,Oxfordshire CC,Services sector,G-T,111770
2022,"Perth and Kinross, and Stirling",Production sector,A-E,3210
2022,"Perth and Kinross, and Stirling",Construction,F (41-43),845
2022,"Perth and Kinross, and Stirling",Services sector,G-T,32015
2022,Peterborough,Production sector,A-E,950
2022,Peterborough,Construction,F (41-43),605
2022,Peterborough,Services sector,G-T,32455
2022,Plymouth,Production sector,A-E,810
2022,Plymouth,Construction,F (41-43),775
2022,Plymouth,Services sector,G-T,37940
2022,Portsmouth,Production sector,A-E,685
2022,Portsmouth,Construction,F (41-43),720
2022,Portsmouth,Services sector,G-T,34205
2022,Powys,Production sector,A-E,1460
2022,Powys,Construction,F (41-43),390
2022,Powys,Services sector,G-T,15425
2022,Redbridge and Waltham Forest,Production sector,A-E,690
2022,Redbridge and Waltham Forest,Construction,F (41-43),3270
2022,Redbridge and Waltham Forest,Services sector,G-T,47720
2022,Sandwell,Production sector,A-E,2900
2022,Sandwell,Construction,F (41-43),720
2022,Sandwell,Services sector,G-T,33855
2022,Scottish Borders,Production sector,A-E,1435
2022,Scottish Borders,Construction,F (41-43),395
2022,Scottish Borders,Services sector,G-T,13530
2022,Sefton,Production sector,A-E,525
2022,Sefton,Construction,F (41-43),635
2022,Sefton,Services sector,G-T,30505
2022,Sheffield,Production sector,A-E,2030
2022,Sheffield,Construction,F (41-43),915
2022,Sheffield,Services sector,G-T,91795
2022,Shetland Islands,Production sector,A-E,760
2022,Shetland Islands,Construction,F (41-43),150
2022,Shetland Islands,Services sector,G-T,4560
2022,Shropshire,Production sector,A-E,2835
2022,Shropshire,Construction,F (41-43),850
2022,Shropshire,Services sector,G-T,40840
2022,Solihull,Production sector,A-E,600
2022,Solihull,Construction,F (41-43),720
2022,Solihull,Services sector,G-T,45275
2022,Somerset CC,Production sector,A-E,3935
2022,Somerset CC,Construction,F (41-43),2180
2022,Somerset CC,Services sector,G-T,73480
2022,South Ayrshire,Production sector,A-E,525
2022,South Ayrshire,Construction,F (41-43),315
2022,South Ayrshire,Services sector,G-T,15075
2022,South Hampshire,Production sector,A-E,1895
2022,South Hampshire,Construction,F (41-43),1835
2022,South Hampshire,Services sector,G-T,53575
2022,South Lanarkshire,Production sector,A-E,2070
2022,South Lanarkshire,Construction,F (41-43),1120
2022,South Lanarkshire,Services sector,G-T,35655
2022,South Nottinghamshire,Production sector,A-E,1440
2022,South Nottinghamshire,Construction,F (41-43),1290
2022,South Nottinghamshire,Services sector,G-T,40390
2022,South Teesside,Production sector,A-E,820
2022,South Teesside,Construction,F (41-43),315
2022,South Teesside,Services sector,G-T,33855
2022,South West Wales,Production sector,A-E,2115
2022,South West Wales,Construction,F (41-43),1200
2022,South West Wales,Services sector,G-T,50650
2022,South and West Derbyshire,Production sector,A-E,2950
2022,South and West Derbyshire,Construction,F (41-43),2015
2022,South and West Derbyshire,Services sector,G-T,60190
2022,Southampton,Production sector,A-E,600
2022,Southampton,Construction,F (41-43),630
2022,Southampton,Services sector,G-T,36460
2022,Southend-on-Sea,Production sector,A-E,395
2022,Southend-on-Sea,Construction,F (41-43),665
2022,Southend-on-Sea,Services sector,G-T,23415
2022,Staffordshire CC,Production sector,A-E,5965
2022,Staffordshire CC,Construction,F (41-43),2660
2022,Staffordshire CC,Services sector,G-T,102400
2022,Stoke-on-Trent,Production sector,A-E,1895
2022,Stoke-on-Trent,Construction,F (41-43),625
2022,Stoke-on-Trent,Services sector,G-T,37855
2022,Suffolk CC,Production sector,A-E,3650
2022,Suffolk CC,Construction,F (41-43),2790
2022,Suffolk CC,Services sector,G-T,63465
2022,Sunderland,Production sector,A-E,1345
2022,Sunderland,Construction,F (41-43),295
2022,Sunderland,Services sector,G-T,31360
2022,Swansea,Production sector,A-E,395
2022,Swansea,Construction,F (41-43),630
2022,Swansea,Services sector,G-T,41250
2022,Swindon,Production sector,A-E,720
2022,Swindon,Construction,F (41-43),580
2022,Swindon,Services sector,G-T,32085
2022,Telford and Wrekin,Production sector,A-E,1250
2022,Telford and Wrekin,Construction,F (41-43),390
2022,Telford and Wrekin,Services sector,G-T,24845
2022,Thurrock,Production sector,A-E,235
2022,Thurrock,Construction,F (41-43),915
2022,Thurrock,Services sector,G-T,22770
2022,Torbay,Production sector,A-E,285
2022,Torbay,Construction,F (41-43),320
2022,Torbay,Services sector,G-T,19815
2022,Tower Hamlets,Production sector,A-E,485
2022,Tower Hamlets,Construction,F (41-43),785
2022,Tower Hamlets,Services sector,G-T,64300
2022,Tyneside,Production sector,A-E,2580
2022,Tyneside,Construction,F (41-43),1025
2022,Tyneside,Services sector,G-T,124385
2022,Wakefield,Production sector,A-E,1870
2022,Wakefield,Construction,F (41-43),755
2022,Wakefield,Services sector,G-T,46000
2022,Walsall,Production sector,A-E,2025
2022,Walsall,Construction,F (41-43),595
2022,Walsall,Services sector,G-T,31050
2022,Wandsworth,Production sector,A-E,345
2022,Wandsworth,Construction,F (41-43),845
2022,Wandsworth,Services sector,G-T,38375
2022,Warrington,Production sector,A-E,785
2022,Warrington,Construction,F (41-43),770
2022,Warrington,Services sector,G-T,34700
