DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Derbyshire and Nottinghamshire,Water supply; sewerage and waste management,E (36-39),5335
2015,Derbyshire and Nottinghamshire,Construction,F (41-43),41790
2015,Derbyshire and Nottinghamshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),87390
2015,Derbyshire and Nottinghamshire,Transportation and storage,H (49-53),31545
2015,Derbyshire and Nottinghamshire,Accommodation and food service activities,I (55-56),19200
2015,Derbyshire and Nottinghamshire,Information and communication,J (58-63),21150
2015,Derbyshire and Nottinghamshire,Financial and insurance activities,K (64-66),8930
2015,Derbyshire and Nottinghamshire,Real estate activities,L (68),9075
2015,Derbyshire and Nottinghamshire,"Professional, scientific and technical activities",M (69-75),40910
2015,Derbyshire and Nottinghamshire,Administrative and support service activities,N (77-82),72525
2015,Derbyshire and Nottinghamshire,Public administration and defence,O (84),26800
2015,Derbyshire and Nottinghamshire,Education,P (85),45470
2015,Derbyshire and Nottinghamshire,Human health and social work activities,Q (86-88),68350
2015,Derbyshire and Nottinghamshire,"Arts, entertainment and recreation",R (90-93),8975
2015,Derbyshire and Nottinghamshire,Other service activities,S (94-96),9955
2015,Derbyshire and Nottinghamshire,Activities of households,T (97-98),0
2015,Derbyshire and Nottinghamshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Devon,"Agriculture, forestry and fishing",A (1-3),4590
2015,Devon,Mining and quarrying,B (5-9),560
2015,Devon,Manufacturing,C (10-33),35680
2015,Devon,"Electricity, gas, steam and air conditioning supply",D (35),860
2015,Devon,Water supply; sewerage and waste management,E (36-39),3035
2015,Devon,Construction,F (41-43),22315
2015,Devon,Wholesale and retail trade; repair of motor vehicles,G (45-47),46170
2015,Devon,Transportation and storage,H (49-53),17765
2015,Devon,Accommodation and food service activities,I (55-56),18915
2015,Devon,Information and communication,J (58-63),8935
2015,Devon,Financial and insurance activities,K (64-66),5260
2015,Devon,Real estate activities,L (68),6185
2015,Devon,"Professional, scientific and technical activities",M (69-75),22905
2015,Devon,Administrative and support service activities,N (77-82),18415
2015,Devon,Public administration and defence,O (84),16400
2015,Devon,Education,P (85),22365
2015,Devon,Human health and social work activities,Q (86-88),41525
2015,Devon,"Arts, entertainment and recreation",R (90-93),4495
2015,Devon,Other service activities,S (94-96),4830
2015,Devon,Activities of households,T (97-98),0
2015,Devon,Activities of extraterritorial organisations and bodies,U (99),0
2015,Dorset and Somerset,"Agriculture, forestry and fishing",A (1-3),5645
2015,Dorset and Somerset,Mining and quarrying,B (5-9),955
2015,Dorset and Somerset,Manufacturing,C (10-33),50855
2015,Dorset and Somerset,"Electricity, gas, steam and air conditioning supply",D (35),1660
2015,Dorset and Somerset,Water supply; sewerage and waste management,E (36-39),3255
2015,Dorset and Somerset,Construction,F (41-43),25340
2015,Dorset and Somerset,Wholesale and retail trade; repair of motor vehicles,G (45-47),53665
2015,Dorset and Somerset,Transportation and storage,H (49-53),16670
2015,Dorset and Somerset,Accommodation and food service activities,I (55-56),20960
2015,Dorset and Somerset,Information and communication,J (58-63),9790
2015,Dorset and Somerset,Financial and insurance activities,K (64-66),13510
2015,Dorset and Somerset,Real estate activities,L (68),6100
2015,Dorset and Somerset,"Professional, scientific and technical activities",M (69-75),32475
2015,Dorset and Somerset,Administrative and support service activities,N (77-82),19700
2015,Dorset and Somerset,Public administration and defence,O (84),14100
2015,Dorset and Somerset,Education,P (85),22920
2015,Dorset and Somerset,Human health and social work activities,Q (86-88),42650
2015,Dorset and Somerset,"Arts, entertainment and recreation",R (90-93),5260
2015,Dorset and Somerset,Other service activities,S (94-96),6505
2015,Dorset and Somerset,Activities of households,T (97-98),0
