Sector_Type,Sector,Cluster,Site_Count,Enterprise_Count,Employment,Turnover,RD&I_Active,Percentage_Innovation_Active,Percentage_IUK_or_UKRI_Engagement,Percentage_with_Patent,IUK_Funding,UKRI_Funding,"Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2019-20","Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2020-21","Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2021-22",Percentage_of_sector_business_locations_in_clusters,Percentage_of_business_locations_in_sector,LA1,LA2,LA3,Frontier_Sector_Flag,Industrial_Strategy_Parent_Sector,Collaboration_in_IUK_Data
RTIC,Data Infrastructure,22,80,77,1250,326175560,TRUE,0.825,0.3125,<=10%,1685070.466934014,1794564.407469381,NA,NA,NA,0.012884522467386,0.0093468863184951,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
RTIC,Data Intermediaries,8,13,13,NA,NA,TRUE,0.846153846153846,0.15384615384615383,<=20%,0,119797.99924070896,NA,NA,NA,0.0246212121212121,0.0163522012578616,Sheffield,North East Derbyshire,No dominant Local Authority,FALSE,x,FALSE
RTIC,Design and Modelling Technologies,4,32,31,390,75027560,TRUE,0.5,0.3125,<=10%,0,4934.348901887512,NA,NA,58170000,0.0379146919431279,0.0207657365347177,Leeds,Kirklees,Wakefield,FALSE,x,FALSE
RTIC,Design and Modelling Technologies,15,20,19,240,57492420,TRUE,0.5,0.45,<=20%,555483.6309298999,507582.8095109953,36600000,31720000,NA,0.023696682464454895,0.0129785853341985,Sheffield,North East Derbyshire,Chesterfield,FALSE,x,FALSE
RTIC,Digital Creative Industries,13,433,403,2600,297127910,TRUE,0.22170900692840648,0.17551963048498845,<=2%,1508813.2,1541982.1923127468,28220000,23820000,30110000,0.0346427714217137,0.0256988545314262,Leeds,North Yorkshire,Kirklees,FALSE,x,FALSE
RTIC,Digital Creative Industries,19,145,141,980,72185850,TRUE,0.2413793103448276,0.18620689655172415,<=2%,103758,189263.7562923816,17030000,10900000,11370000,0.0116009280742459,0.0086058519793459,Sheffield,Rotherham,North East Derbyshire,FALSE,x,FALSE
RTIC,E-Commerce,2,187,154,3010,586796620,TRUE,0.3796791443850268,0.31016042780748665,<=2%,76461,16840.213287249317,17310000,13490000,16370000,0.2300123001230012,0.1290545203588682,No dominant Local Authority,No dominant Local Authority,No dominant Local Authority,FALSE,x,FALSE
RTIC,ESG,5,62,37,790,122095120,TRUE,0.7096774193548387,0.6612903225806451,44%,300747.56746346125,55828.562305654035,11170000,19410000,23660000,0.0741626794258373,0.0515378221113881,North Yorkshire,Leeds,Doncaster,FALSE,x,FALSE
RTIC,EdTech,9,19,17,150,56611990,TRUE,0.5789473684210527,0.368421052631579,<=20%,0,0,NA,NA,NA,0.0238095238095238,0.0154220779220779,Sheffield,Rotherham,North East Derbyshire,FALSE,x,FALSE
RTIC,EdTech,11,26,25,610,49338120,TRUE,0.423076923076923,0.34615384615384615,<=10%,74808,87926.67768595042,NA,6220000,7120000,0.0325814536340852,0.0211038961038961,Leeds,Wakefield,Bradford,FALSE,x,FALSE
RTIC,Electronics Manufacturing,6,76,70,920,208267690,TRUE,0.47368421052631576,0.3947368421052632,<=10%,2323515.4514835565,2211774.709552095,18790000,16020000,17760000,0.0207707023776988,0.011860174781523,Sheffield,North East Derbyshire,Rotherham,FALSE,x,TRUE
RTIC,Energy Generation,4,72,64,1270,862936270,TRUE,0.4444444444444444,0.38888888888888895,17%,1988791.1447476973,182923.8797619816,129130000,112320000,110270000,0.0288924558587479,0.0192461908580593,Leeds,Wakefield,Barnsley,FALSE,x,TRUE
RTIC,Energy Management,34,62,28,630,188456170,TRUE,0.7903225806451613,0.7258064516129032,<=10%,3401.9341693245915,172357.5762620583,54500000,60220000,53000000,0.0218309859154929,0.0135194068905364,Rotherham,Barnsley,Sheffield,FALSE,x,TRUE
RTIC,Energy Storage,18,34,29,740,113294660,TRUE,0.5882352941176471,0.411764705882353,18%,8066158.75,2615863.9131666594,NA,10150000,NA,0.0267085624509033,0.0161596958174904,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
RTIC,FinTech,13,64,32,830,NA,TRUE,0.8125,0.640625,28%,2165.2219607206625,303393.475689002,687200000,645070000,461900000,0.0116152450090744,0.0083605486610058,Sheffield,Rotherham,Barnsley,FALSE,x,FALSE
RTIC,Future Telecoms Supply Chain,3,28,14,440,NA,TRUE,0.7857142857142857,0.6071428571428571,21%,1821130.261470985,392914.3888168713,116190000,88010000,85780000,0.1176470588235294,0.0701754385964912,Cheshire East,No dominant Local Authority,No dominant Local Authority,FALSE,x,FALSE
RTIC,Gaming,6,28,27,610,NA,TRUE,0.32142857142857145,0.17857142857142858,<=10%,375957,87926.67768595042,NA,NA,NA,0.0354430379746835,0.0261437908496732,Leeds,Kirklees,Wakefield,FALSE,x,FALSE
RTIC,Gaming,15,17,16,NA,NA,TRUE,0.29411764705882354,0.17647058823529413,<=20%,49955,829248.6499640505,NA,NA,NA,0.0215189873417721,0.0158730158730158,Rotherham,Sheffield,No dominant Local Authority,FALSE,x,FALSE
RTIC,Immersive Technologies,7,47,43,540,33529150,TRUE,0.5319148936170213,0.4042553191489361,<=10%,348881.9032258064,91551.08218033244,NA,2810000,3270000,0.0419642857142857,0.0302445302445302,Leeds,Kirklees,Wakefield,FALSE,x,FALSE
RTIC,Immersive Technologies,24,14,14,60,4737650,TRUE,0.21428571428571427,0.07142857142857142,<=20%,53803,171202.3092562868,NA,NA,NA,0.0125,0.009009009009009,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
