DATE,Region_name,GEOGRAPHY_CODE,Value,Confidence
2018,East Anglia,UKH1,1216400,42400
2018,Bedfordshire and Hertfordshire,UKH2,946200,35300
2018,Essex,UKH3,899400,32100
2018,Inner London - West,UKI3,629600,29700
2018,Inner London - East,UKI4,1319700,48400
2018,Outer London - East and North East,UKI5,941800,36300
2018,Outer London - South,UKI6,677800,30800
2018,Outer London - West and North West,UKI7,1050900,42100
2018,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1233000,29800
2018,"Surrey, East and West Sussex",UKJ2,1413700,49400
2018,Hampshire and Isle of Wight,UKJ3,997600,31800
2018,Kent,UKJ4,886100,39100
2018,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1288300,33700
2018,Dorset and Somerset,UKK2,637300,23600
2018,Cornwall and Isles of Scilly,UKK3,266000,19500
2018,Devon,UKK4,577800,22600
2018,West Wales,UKL1,882600,17500
2018,East Wales,UKL2,576000,16100
2018,North Eastern Scotland,UKM5,256400,15300
2018,Highlands and Islands,UKM6,230400,9300
2018,Eastern Scotland,UKM7,987500,23800
2018,West Central Scotland,UKM8,727300,21700
2018,Southern Scotland,UKM9,436800,14800
2019,Tees Valley and Durham,UKC1,531100,16000
2019,Northumberland and Tyne and Wear,UKC2,664400,21000
2019,Cumbria,UKD1,238300,16900
2019,Greater Manchester,UKD3,1334400,31800
2019,Lancashire,UKD4,700400,25500
2019,Cheshire,UKD6,458400,24200
2019,Merseyside,UKD7,730800,23000
2019,East Yorkshire and Northern Lincolnshire,UKE1,430100,16600
2019,North Yorkshire,UKE2,405600,21000
2019,South Yorkshire,UKE3,661900,25600
2019,West Yorkshire,UKE4,1082100,35100
2019,Derbyshire and Nottinghamshire,UKF1,1077500,37200
2019,"Leicestershire, Rutland and Northamptonshire",UKF2,931100,37700
2019,Lincolnshire,UKF3,353100,25900
2019,"Herefordshire, Worcestershire and Warwickshire",UKG1,676600,27100
2019,Shropshire and Staffordshire,UKG2,795300,28200
2019,West Midlands,UKG3,1303900,35900
2019,East Anglia,UKH1,1230200,43500
2019,Bedfordshire and Hertfordshire,UKH2,952700,35300
2019,Essex,UKH3,906300,32400
2019,Inner London - West,UKI3,641600,32000
2019,Inner London - East,UKI4,1354200,50300
2019,Outer London - East and North East,UKI5,945700,38100
2019,Outer London - South,UKI6,687400,30300
2019,Outer London - West and North West,UKI7,1040400,47100
2019,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1256500,30100
2019,"Surrey, East and West Sussex",UKJ2,1486500,51600
2019,Hampshire and Isle of Wight,UKJ3,987700,31700
2019,Kent,UKJ4,907100,41600
2019,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1290100,34300
2019,Dorset and Somerset,UKK2,648100,25000
2019,Cornwall and Isles of Scilly,UKK3,263800,20000
2019,Devon,UKK4,581700,23700
2019,West Wales,UKL1,883800,17800
2019,East Wales,UKL2,578200,16600
2019,North Eastern Scotland,UKM5,266600,15500
2019,Highlands and Islands,UKM6,229700,9700
2019,Eastern Scotland,UKM7,986000,24300
2019,West Central Scotland,UKM8,738000,21200
2019,Southern Scotland,UKM9,443600,15400
2020,Tees Valley and Durham,UKC1,531300,17800
2020,Northumberland and Tyne and Wear,UKC2,670400,23300
2020,Cumbria,UKD1,230300,17900
2020,Greater Manchester,UKD3,1327000,36700
2020,Lancashire,UKD4,694100,29500
2020,Cheshire,UKD6,458400,25100
2020,Merseyside,UKD7,725200,25100
2020,East Yorkshire and Northern Lincolnshire,UKE1,427000,18400
2020,North Yorkshire,UKE2,397600,22500
2020,South Yorkshire,UKE3,653000,28700
2020,West Yorkshire,UKE4,1120300,40000
2020,Derbyshire and Nottinghamshire,UKF1,1057300,40600
2020,"Leicestershire, Rutland and Northamptonshire",UKF2,925300,39900
2020,Lincolnshire,UKF3,329400,24900
2020,"Herefordshire, Worcestershire and Warwickshire",UKG1,663900,28100
2020,Shropshire and Staffordshire,UKG2,779100,30800
2020,West Midlands,UKG3,1314100,42000
2020,East Anglia,UKH1,1210700,45700
2020,Bedfordshire and Hertfordshire,UKH2,965600,38100
2020,Essex,UKH3,886500,35300
2020,Inner London - West,UKI3,651300,37200
2020,Inner London - East,UKI4,1382700,61500
2020,Outer London - East and North East,UKI5,960200,43400
2020,Outer London - South,UKI6,683500,34100
2020,Outer London - West and North West,UKI7,1070300,51500
2020,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1230300,33000
2020,"Surrey, East and West Sussex",UKJ2,1460000,52800
2020,Hampshire and Isle of Wight,UKJ3,980800,34100
2020,Kent,UKJ4,913200,43200
2020,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1287900,37300
2020,Dorset and Somerset,UKK2,626900,26500
2020,Cornwall and Isles of Scilly,UKK3,263400,20600
2020,Devon,UKK4,568600,25000
2020,West Wales,UKL1,881100,19800
2020,East Wales,UKL2,570600,18100
2020,North Eastern Scotland,UKM5,255200,17000
2020,Highlands and Islands,UKM6,228100,11000
2020,Eastern Scotland,UKM7,962400,27400
2020,West Central Scotland,UKM8,737500,24700
2020,Southern Scotland,UKM9,430100,17100
2021,Tees Valley and Durham,UKC1,529000,17900
2021,Northumberland and Tyne and Wear,UKC2,651400,23200
2021,Cumbria,UKD1,227500,16400
2021,Greater Manchester,UKD3,1321100,37900
2021,Lancashire,UKD4,668300,28500
2021,Cheshire,UKD6,434500,24100
2021,Merseyside,UKD7,734400,27600
2021,East Yorkshire and Northern Lincolnshire,UKE1,423400,18400
2021,North Yorkshire,UKE2,402800,21700
2021,South Yorkshire,UKE3,660300,27900
2021,West Yorkshire,UKE4,1090100,39800
2021,Derbyshire and Nottinghamshire,UKF1,1045600,38900
2021,"Leicestershire, Rutland and Northamptonshire",UKF2,883600,37300
2021,Lincolnshire,UKF3,344200,24200
2021,"Herefordshire, Worcestershire and Warwickshire",UKG1,668300,27500
2021,Shropshire and Staffordshire,UKG2,771500,31000
2021,West Midlands,UKG3,1326300,44300
2021,East Anglia,UKH1,1212100,44500
2021,Bedfordshire and Hertfordshire,UKH2,954700,38400
2021,Essex,UKH3,914600,34600
2021,Inner London - West,UKI3,648900,39500
2021,Inner London - East,UKI4,1403300,62400
2021,Outer London - East and North East,UKI5,958800,43200
2021,Outer London - South,UKI6,693000,34000
2021,Outer London - West and North West,UKI7,1050300,48900
2021,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1219700,32900
2021,"Surrey, East and West Sussex",UKJ2,1455000,50100
2021,Hampshire and Isle of Wight,UKJ3,987200,33800
2021,Kent,UKJ4,874700,40400
2021,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1288400,36000
2021,Dorset and Somerset,UKK2,618300,25600
2021,Cornwall and Isles of Scilly,UKK3,254900,19800
2021,Devon,UKK4,556200,23500
2021,West Wales,UKL1,879800,20000
2021,East Wales,UKL2,570300,18700
2021,North Eastern Scotland,UKM5,252200,16900
2021,Highlands and Islands,UKM6,215300,12600
2021,Eastern Scotland,UKM7,974700,29700
2021,West Central Scotland,UKM8,733700,26100
2021,Southern Scotland,UKM9,426000,17600
2022,Tees Valley and Durham,UKC1,539900,19100
2022,Northumberland and Tyne and Wear,UKC2,650100,24300
2022,Cumbria,UKD1,232400,16700
2022,Greater Manchester,UKD3,1337600,41100
2022,Lancashire,UKD4,680500,31100
2022,Cheshire,UKD6,443000,27100
2022,Merseyside,UKD7,731500,30900
2022,East Yorkshire and Northern Lincolnshire,UKE1,432900,19400
2022,North Yorkshire,UKE2,413900,23000
2022,South Yorkshire,UKE3,669700,30200
2022,West Yorkshire,UKE4,1095700,41600
2022,Derbyshire and Nottinghamshire,UKF1,1056800,41200
2022,"Leicestershire, Rutland and Northamptonshire",UKF2,920600,38600
2022,Lincolnshire,UKF3,357400,26800
