ITL321CD,ITL321NM,ITL325CD,ITL325NM,ObjectId
TLK23,Somerset CC,TLK62,Somerset,74
TLK24,"Bournemouth, Christchurch and Poole",TLK63,"Bournemouth, Christchurch and Poole",75
TLK25,Dorset,TLK64,Dorset,76
TLK14,Swindon,TLK71,Swindon,77
TLK15,Wiltshire,TLK72,Wiltshire,78
TLK13,Gloucestershire CC,TLK73,Gloucestershire CC,79
TLL11,Isle of Anglesey,TLL31,Isle of Anglesey,80
TLL12,Gwynedd,TLL32,Gwynedd,81
TLL13,Conwy and Denbighshire,TLL33,Conwy and Denbighshire,82
TLL23,Flintshire and Wrexham,TLL34,Flintshire and Wrexham,83
TLL14,South West Wales,TLL41,Mid Wales,84
TLL24,Powys,TLL41,Mid Wales,85
TLL14,South West Wales,TLL42,South West Wales,86
TLL18,Swansea,TLL43,Swansea,87
TLL17,Bridgend and Neath Port Talbot,TLL44,Neath Port Talbot,88
TLL15,Central Valleys,TLL51,Central Valleys and Bridgend,89
TLL17,Bridgend and Neath Port Talbot,TLL51,Central Valleys and Bridgend,90
TLL22,Cardiff and Vale of Glamorgan,TLL52,Cardiff and Vale of Glamorgan,91
TLL16,Gwent Valleys,TLL53,Gwent Valleys,92
TLL21,Monmouthshire and Newport,TLL54,Monmouthshire and Newport,93
TLM72,Clackmannanshire and Fife,TLM01,Clackmannanshire and Fife,94
